idx	offset	kind	byte_len	text
0	6520	text	28	Adapt view to editing target
1	6552	text	43	Make canvas camera reflect perspective view
2	6599	text	43	Make perspective view camera reflect canvas
3	6646	text	21	Show face border edge
4	6671	text	32	Sync perspective view and canvas
5	6707	text	35	Always show camera and visible area
6	6746	text	36	Revert dividing position to default.
7	6786	text	16	Show command bar
8	6806	text	18	Select view layout
9	6828	text	28	Adapt view to editing target
10	6860	text	44	Makes canvas camera reflect perspective view
11	6908	text	44	Makes perspective view camera reflect canvas
12	6956	text	22	Shows face border edge
13	6982	text	33	Syncs perspective view and canvas
14	7019	text	36	Always shows camera and visible area
15	7059	text	26	Up Perspective/Front Right
16	7089	text	25	Perspective Up/Right Back
17	7118	text	24	Up Perspective/Back Left
18	7146	text	25	Perspective Up/Left Front
19	7175	text	30	Front Right/Bottom Perspective
20	7209	text	29	Right Back/Perspective Bottom
21	7242	text	28	Back Left/Bottom Perspective
22	7274	text	29	Left Front/Perspective Bottom
23	7307	text	16	Perspective view
24	7327	text	10	Front view
25	7341	text	9	Back view
26	7354	text	9	Left view
27	7367	text	10	Right view
28	7381	text	8	Top view
29	7393	text	11	Bottom view
30	7408	text	86	Hide elements that are further forward than the specified point and only show the back
31	7498	text	13	View settings
32	7515	text	15	Hide foreground
33	7660	key	6	PWView
34	7686	key	6	PWView
35	8002	key	12	PWPushButton
36	8034	key	12	PWPushButton
37	8140	key	6	PWView
38	8444	key	12	PWPushButton
39	8476	key	12	PWPushButton
40	8582	key	6	PWView
41	8886	key	12	PWPushButton
42	8918	key	12	PWPushButton
43	9024	key	6	PWView
44	9328	key	12	PWPushButton
45	9360	key	12	PWPushButton
46	9466	key	6	PWView
47	9770	key	10	PWCheckBox
48	9800	key	10	PWCheckBox
49	9904	key	6	PWView
50	10204	key	10	PWCheckBox
51	10234	key	10	PWCheckBox
52	10338	key	6	PWView
53	10638	key	10	PWCheckBox
54	10668	key	10	PWCheckBox
55	10772	key	6	PWView
56	11104	key	6	PWView
57	11130	key	6	PWView
58	11456	key	12	PWPushButton
59	11488	key	12	PWPushButton
60	11594	key	6	PWView
61	11898	key	12	PWPushButton
62	11930	key	12	PWPushButton
63	12036	key	6	PWView
64	12340	key	12	PWPushButton
65	12372	key	12	PWPushButton
66	12478	key	6	PWView
67	12782	key	12	PWPushButton
68	12814	key	12	PWPushButton
69	12920	key	6	PWView
70	13224	key	12	PWPushButton
71	13256	key	12	PWPushButton
72	13362	key	6	PWView
73	13666	key	12	PWPushButton
74	13698	key	12	PWPushButton
75	13804	key	6	PWView
76	14108	key	12	PWPushButton
77	14140	key	12	PWPushButton
78	14246	key	6	PWView
79	14550	key	12	PWPushButton
80	14582	key	12	PWPushButton
81	14688	key	6	PWView
82	15024	key	6	PWView
83	15050	key	6	PWView
84	15225	key	1	h
85	15366	key	12	PWStaticIcon
86	15398	key	12	PWStaticIcon
87	15454	key	6	PWView
88	15726	key	12	PWStaticText
89	15758	key	12	PWStaticText
90	15834	key	6	PWView
91	16110	key	12	PWPushButton
92	16142	key	12	PWPushButton
93	16248	key	6	PWView
94	16552	key	12	PWPushButton
95	16584	key	12	PWPushButton
96	16690	key	6	PWView
97	16994	key	10	PWCheckBox
98	17024	key	10	PWCheckBox
99	17128	key	6	PWView
100	17428	key	10	PWCheckBox
101	17458	key	10	PWCheckBox
102	17562	key	6	PWView
103	17862	key	12	PWPushButton
104	17894	key	12	PWPushButton
105	18000	key	6	PWView
106	18332	key	6	PWView
107	18358	key	6	PWView
108	18624	key	10	PWCheckBox
109	18654	key	10	PWCheckBox
110	18728	key	6	PWView
111	18953	key	1	f
112	19028	key	11	PWSliderBar
113	19059	key	11	PWSliderBar
114	19114	key	6	PWView
115	19376	key	6	PWMenu
116	19570	key	10	PWMenuItem
117	19668	key	10	PWMenuItem
118	19766	key	10	PWMenuItem
119	19864	key	10	PWMenuItem
120	19962	key	10	PWMenuItem
121	20060	key	10	PWMenuItem
122	20158	key	10	PWMenuItem
123	20256	key	10	PWMenuItem
124	20354	key	10	PWMenuItem
125	20452	key	10	PWMenuItem
126	20654	text	16	Import file (%s)
127	20674	text	42	Range of frames to import as pose sequence
128	20807	key	2	OK
129	20813	key	6	Cancel
130	20823	text	11	Start frame
131	20838	text	9	End frame
132	20941	key	6	PWView
133	20967	key	6	PWView
134	21263	key	6	PWView
135	21289	key	6	PWView
136	21468	key	1	r
137	21609	key	10	PWGroupBox
138	21639	key	10	PWGroupBox
139	21703	key	6	PWView
140	21832	key	1	6
141	21979	key	12	PWStaticText
142	22011	key	12	PWStaticText
143	22107	key	6	PWView
144	22427	key	9	PWEditBox
145	22456	key	9	PWEditBox
146	22509	key	6	PWView
147	22813	key	19	PWPopupSliderButton
148	22852	key	19	PWPopupSliderButton
149	22955	key	6	PWView
150	23275	key	12	PWStaticText
151	23307	key	12	PWStaticText
152	23403	key	6	PWView
153	23723	key	9	PWEditBox
154	23752	key	9	PWEditBox
155	23805	key	6	PWView
156	24109	key	19	PWPopupSliderButton
157	24148	key	19	PWPopupSliderButton
158	24251	key	6	PWView
159	24609	key	17	PWEditSliderJoint
160	24646	key	17	PWEditSliderJoint
161	24717	key	16	PWViewAttachment
162	24857	key	17	PWEditSliderJoint
163	24894	key	17	PWEditSliderJoint
164	24965	key	16	PWViewAttachment
165	25129	key	12	PWStaticIcon
166	25161	key	12	PWStaticIcon
167	25217	key	6	PWView
168	25489	key	12	PWStaticText
169	25521	key	12	PWStaticText
170	25607	key	6	PWView
171	25887	key	12	PWPushButton
172	25919	key	12	PWPushButton
173	26035	key	6	PWView
174	26315	key	12	PWPushButton
175	26347	key	12	PWPushButton
176	26463	key	6	PWView
177	27573	text	20	License information:
178	27597	key	2	OK
179	27603	text	15	VRM information
180	27622	key	3	VRM
181	27629	text	24	Copy license information
182	27657	text	40	The license information has been copied.
183	27701	key	5	Title
184	27710	key	7	Version
185	27721	key	6	Author
186	27731	text	19	Contact Information
187	27754	key	6	Browse
188	27764	text	41	Personation / Characterization Permission
189	27809	key	7	Unknown
190	27820	text	48	The avatar may only be manipulated by its author
191	27872	text	47	Authorized only to explicitly specified persons
192	27923	text	20	Authorized to anyone
193	27947	text	51	Permission to express violent acts with this avatar
194	28002	text	50	Permission to express sexual acts with this avatar
195	28056	text	18	For commercial use
196	28078	key	7	Unknown
197	28089	key	5	Allow
198	28098	key	8	Disallow
199	28110	text	17	Other License URL
200	28131	text	36	Redistribution / Adaptations License
201	28171	key	7	Unknown
202	28182	text	25	Redistribution Prohibited
203	28211	text	17	Copyright waiver 
204	28232	text	30	Creative Commons CC BY license
205	28266	text	33	Creative Commons CC BY-NC license
206	28303	text	33	Creative Commons CC BY-SA license
207	28340	text	36	Creative Commons CC BY-NC-SA license
208	28380	text	33	Creative Commons CC BY-ND license
209	28417	text	36	Creative Commons CC BY-NC-ND license
210	28457	key	5	Other
211	28466	text	54	Other license conditions for redistribution/adaptation
212	28524	key	4	Name
213	28532	key	7	Version
214	28543	key	6	Author
215	28553	text	15	Copyright owner
216	28572	text	51	Contact information for the author (representative)
217	28627	text	52	Information for original/related works if applicable
218	28683	text	27	Third-party license display
219	28714	text	19	URL to license text
220	28737	text	35	User who can manipulate this avatar
221	28776	key	7	Unknown
222	28787	text	11	Only Author
223	28802	text	26	Explicitly Licensed Person
224	28832	key	8	Everyone
225	28844	key	3	Yes
226	28851	key	2	No
227	28857	text	53	Permission to use for excessively violent expressions
228	28914	text	52	Permission to use for excessively sexual expressions
229	28970	text	68	Permission to use for religious expressions or political expressions
230	29042	text	64	Permission to use for antisocial expressions or hate expressions
231	29110	text	26	Permission to Redistribute
232	29140	text	29	Permission for Commercial Use
233	29173	key	7	Unknown
234	29184	text	48	Only permitted for individual non-commercial use
235	29236	text	57	Permitted for individual commercial or non-commercial use
236	29297	text	48	Permitted for all individual and corporate users
237	29349	text	18	Credit Attribution
238	29371	key	7	Unknown
239	29382	key	8	Required
240	29394	text	12	Not required
241	29410	text	59	Permission for Adaptation and Redistribution of Adaptations
242	29473	key	7	Unknown
243	29484	text	13	Not permitted
244	29501	text	21	Allow adaptation only
245	29526	text	50	Allow adaptation and redistribution of adaptations
246	29580	text	32	URL for other license conditions
247	29696	key	8	PWWindow
248	29814	key	8	PWWindow
249	30086	key	6	PWView
250	30112	key	6	PWView
251	30287	key	1	*
252	30418	key	6	PWView
253	30444	key	6	PWView
254	30716	key	12	PWStaticText
255	30748	key	12	PWStaticText
256	30834	key	6	PWView
257	31035	key	1	v
258	31110	key	12	PWStaticText
259	31142	key	12	PWStaticText
260	31208	key	6	PWView
261	31484	key	15	PWScrollEditBox
262	31519	key	12	PWScrollView
263	31595	key	6	PWView
264	31785	key	15	PWScrollEditBox
265	31910	key	12	PWPushButton
266	31942	key	12	PWPushButton
267	32058	key	6	PWView
268	32338	key	12	PWPushButton
269	32370	key	12	PWPushButton
270	32486	key	6	PWView
271	33360	text	11	Auto Action
272	33375	text	15	Add auto action
273	33394	text	18	Delete auto action
274	33416	text	18	Change auto action
275	33438	text	21	Duplicate auto action
276	33463	text	35	Move Auto Action to a different set
277	33502	text	35	Copy Auto Action to a different set
278	33541	text	14	Delete command
279	33559	text	17	Duplicate command
280	33580	text	14	Create new set
281	33598	text	8	Edit set
282	33610	text	14	Switch the set
283	33628	text	27	Start to record auto action
284	33659	text	16	Play auto action
285	33679	text	9	Loop play
286	33692	text	10	Export set
287	33706	text	10	Import set
288	33720	text	24	Register set as material
289	33748	text	19	Add auto action set
290	33771	text	33	Auto-install downloaded materials
291	33808	text	17	Playback settings
292	33829	text	11	Button mode
293	33844	text	27	Show the action setting bar
294	33875	text	16	Show command bar
295	33895	text	14	Auto action %d
296	33913	text	22	New auto action set %d
297	33939	text	10	Copy of %s
298	33953	text	19	Add auto action set
299	33976	text	27	Delete selected auto action
300	34007	text	42	Add new auto action to current auto action
301	34053	text	24	Switch action set to use
302	34081	text	27	Start to record auto action
303	34112	text	26	Stop to record auto action
304	34142	text	25	Start to play auto action
305	34171	text	24	Stop to play auto action
306	34199	text	26	Create new auto action set
307	34229	text	19	Add auto action set
308	34252	text	35	Are you sure you want to delete %s?
309	34291	text	47	Are you sure you want to delete these %d items?
310	34342	text	75	Loop play auto action without continue confirmation. Press Esc key to stop.
311	34421	text	32	Register to auto action palette.
312	34457	text	63	You cannot import Auto Action files in Clip Studio Paint Debut.
313	34997	text	54	All supported formats|*.laf|auto action set file|*.laf
314	35055	text	26	Auto action set file|*.laf
315	35085	key	3	laf
316	35092	text	33	Search for auto actions on ASSETS
317	35129	text	11	Add palette
318	35144	text	30	Materials not added to palette
319	35210	key	6	PWMenu
320	35584	key	10	PWMenuItem
321	35682	key	10	PWMenuItem
322	35780	key	10	PWMenuItem
323	35878	key	10	PWMenuItem
324	35976	key	10	PWMenuItem
325	36074	key	10	PWMenuItem
326	36172	key	10	PWMenuItem
327	36256	key	10	PWMenuItem
328	36340	key	10	PWMenuItem
329	36438	key	10	PWMenuItem
330	36536	key	10	PWMenuItem
331	36634	key	10	PWMenuItem
332	36732	key	10	PWMenuItem
333	36844	key	10	PWMenuItem
334	36988	key	6	PWMenu
335	37076	key	10	PWMenuItem
336	37174	key	10	PWMenuItem
337	37272	key	10	PWMenuItem
338	37370	key	10	PWMenuItem
339	37468	key	10	PWMenuItem
340	37566	key	10	PWMenuItem
341	37678	key	10	PWMenuItem
342	37790	key	10	PWMenuItem
343	37902	key	10	PWMenuItem
344	38014	key	10	PWMenuItem
345	38112	key	10	PWMenuItem
346	38206	key	10	PWMenuItem
347	38304	key	10	PWMenuItem
348	38398	key	10	PWMenuItem
349	38584	text	8	Set name
350	38596	key	4	Play
351	38604	text	12	Waiting time
352	38620	text	33	Confirm continuation of loop play
353	38657	key	2	OK
354	38663	key	6	Cancel
355	38763	key	6	PWView
356	38789	key	6	PWView
357	38914	key	1	|
358	39055	key	6	PWView
359	39081	key	6	PWView
360	39347	key	12	PWStaticText
361	39379	key	12	PWStaticText
362	39475	key	6	PWView
363	39787	key	9	PWEditBox
364	39816	key	9	PWEditBox
365	39869	key	6	PWView
366	40205	key	6	PWView
367	40231	key	6	PWView
368	40497	key	12	PWPushButton
369	40529	key	12	PWPushButton
370	40645	key	6	PWView
371	40925	key	12	PWPushButton
372	40957	key	12	PWPushButton
373	41073	key	6	PWView
374	41461	key	6	PWView
375	41487	key	6	PWView
376	41757	key	13	PWPopupButton
377	41790	key	13	PWPopupButton
378	41877	key	6	PWView
379	42225	key	6	PWView
380	42251	key	6	PWView
381	42521	key	12	PWPushButton
382	42553	key	12	PWPushButton
383	42659	key	6	PWView
384	42963	key	12	PWPushButton
385	42995	key	12	PWPushButton
386	43101	key	6	PWView
387	43469	key	6	PWView
388	43495	key	6	PWView
389	43755	key	6	PWView
390	43781	key	6	PWView
391	44071	key	10	PWCheckBox
392	44101	key	10	PWCheckBox
393	44225	key	6	PWView
394	44533	key	10	PWCheckBox
395	44563	key	10	PWCheckBox
