key,source,target
1/1/3#0,Adapt view to editing target,Adapt view to editing target
1/1/5#0,Make canvas camera reflect perspective view,Make canvas camera reflect perspective view
1/1/7#0,Make perspective view camera reflect canvas,Make perspective view camera reflect canvas
1/1/9#0,Show face border edge,Show face border edge
1/1/11#0,Sync perspective view and canvas,Sync perspective view and canvas
1/1/13#0,Always show camera and visible area,Always show camera and visible area
1/1/15#0,Revert dividing position to default.,Revert dividing position to default.
1/1/17#0,Show command bar,Show command bar
1/1/20#0,Select view layout,Select view layout
1/1/22#0,Adapt view to editing target,Adapt view to editing target
1/1/24#0,Makes canvas camera reflect perspective view,Makes canvas camera reflect perspective view
1/1/26#0,Makes perspective view camera reflect canvas,Makes perspective view camera reflect canvas
1/1/28#0,Shows face border edge,Shows face border edge
1/1/30#0,Syncs perspective view and canvas,Syncs perspective view and canvas
1/1/32#0,Always shows camera and visible area,Always shows camera and visible area
1/1/63#0,Up Perspective/Front Right,Up Perspective/Front Right
1/1/64#0,Perspective Up/Right Back,Perspective Up/Right Back
1/1/65#0,Up Perspective/Back Left,Up Perspective/Back Left
1/1/66#0,Perspective Up/Left Front,Perspective Up/Left Front
1/1/67#0,Front Right/Bottom Perspective,Front Right/Bottom Perspective
1/1/68#0,Right Back/Perspective Bottom,Right Back/Perspective Bottom
1/1/69#0,Back Left/Bottom Perspective,Back Left/Bottom Perspective
1/1/70#0,Left Front/Perspective Bottom,Left Front/Perspective Bottom
1/1/35#0,Perspective view,Perspective view
1/1/37#0,Front view,Front view
1/1/39#0,Back view,Back view
1/1/41#0,Left view,Left view
1/1/43#0,Right view,Right view
1/1/45#0,Top view,Top view
1/1/47#0,Bottom view,Bottom view
1/1/61#0,Hide elements that are further forward than the specified point and only show the back,Hide elements that are further forward than the specified point and only show the back
1/1/57#0,View settings,View settings
1/1/60#0,Hide foreground,Hide foreground
2/1/17#0,Import file (%s),Import file (%s)
2/1/4#0,Range of frames to import as pose sequence,Range of frames to import as pose sequence
2/1/14#0,"Some motion files may have terms of use.
Please check these before using the file.","Some motion files may have terms of use.
Please check these before using the file."
2/1/6#0,Start frame,Start frame
2/1/10#0,End frame,End frame
3/1/6#0,License information:,License information:
3/1/2#0,VRM information,VRM information
3/1/8#0,Copy license information,Copy license information
3/1/12#0,The license information has been copied.,The license information has been copied.
3/1/16#0,Contact Information,Contact Information
3/1/18#0,Personation / Characterization Permission,Personation / Characterization Permission
3/1/20#0,The avatar may only be manipulated by its author,The avatar may only be manipulated by its author
3/1/21#0,Authorized only to explicitly specified persons,Authorized only to explicitly specified persons
3/1/22#0,Authorized to anyone,Authorized to anyone
3/1/23#0,Permission to express violent acts with this avatar,Permission to express violent acts with this avatar
3/1/24#0,Permission to express sexual acts with this avatar,Permission to express sexual acts with this avatar
3/1/25#0,For commercial use,For commercial use
3/1/29#0,Other License URL,Other License URL
3/1/30#0,Redistribution / Adaptations License,Redistribution / Adaptations License
3/1/32#0,Redistribution Prohibited,Redistribution Prohibited
3/1/33#0,Copyright waiver ,Copyright waiver 
