source,target
Exporting data...,Экспорт данных...
"This will export the work “%s”. 
 Do you want to continue?",
Please download the latest version of Clip Studio Paint to export your work.,"Загрузите последнюю версию Clip Studio Paint, чтобы экспортировать ваше произведение."
Download latest version,Загрузить последнюю версию
Cancel,Отмена
"This feature is not available on the version of Clip Studio that you have installed. 
Please download the latest version and try again.",
Failed to acquire rendering parameters.,Не удалось получить параметры рендеринга.
"The server is currently under maintenance, so the rendering parameters could not be retrieved.","Сервер в настоящее время на техническом обслуживании, поэтому не удалось получить параметры рендеринга."
Failed to retrieve draft ID.,Не удалось получить идентификатор черновика.
Failed to retrieve URL for upload.,Не удалось получить URL для выгрузки.
Failed to upload the file.,Не удалось выгрузить файл.
Uploading your work. Your work will not be made public until you publish your post.,"Загрузка произведения. Произведение не будет опубликовано, пока вы не опубликуете свою запись."
https://www.clipstudio.net/en/dl,
