key,source,target
1/1/40#0,Finalizing. Please wait for a while.,Завершение. Подождите немного.
1/1/5#0,Cancel,Отмена
1/1/41#0,Compress video,Сжать видео
1/1/42#0,Compression program,Программа сжатия
1/1/43#0,Uncompressed,Без сжатия
1/1/44#0,Compression quality,Качество сжатия
1/1/45#0,Keyframe,Ключевой кадр
1/1/46#0,For each frame,Для каждого кадра
1/1/47#0,Data speed,Скорость данных
1/1/48#0,KB/sec,КБ/сек
1/1/49#0,Configuration,Конфигурация
1/1/50#0,Version information,Сведения о версии
1/1/51#0,%.3fkHz %s,%.3fкГц %s
1/1/52#0,Stereo,Стерео
1/1/53#0,Mono,Моно
1/1/54#0,Movie export settings,Настройки экспорта видео
1/1/55#0,Save to,Сохранить в
1/1/56#0,Browse,Обзор
1/1/57#0,Not set.,Не задано.
1/1/58#0,Video settings,Настройки видео
1/1/59#0,Settings,Настройки
1/1/13#0,Audio settings,Настройки аудио
1/1/15#0,Settings,Настройки
1/1/28#0,Options,Параметры
1/1/35#0,Enable transparency,Включить прозрачность
1/1/60#0,Show shadow,Показывать тень
1/1/31#0,Frame rate,Частота кадров
1/1/61#0,Set a save location.,Задайте расположение для сохранения.
1/1/62#0,Configure video settings.,Настройте параметры видео.
1/1/63#0,Configure audio settings.,Настройте параметры аудио.
1/1/64#0,AVI (*.avi)|*.avi;,
1/1/65#0,AVI (*.avi)|*.avi,
1/1/66#0,QuickTime Movie(*.mov)|*.mov,Видео QuickTime(*.mov)|*.mov
1/1/67#0,MP4 (*.mp4)|*.mp4,
1/1/8#0,Export as AVI1.0,Экспортировать как AVI1.0
1/1/10#0,Export as AVI2.0,Экспортировать как AVI2.0
1/1/68#0,AVI1.0 export settings,Настройки экспорта AVI1.0
1/1/69#0,AVI2.0 export settings,Настройки экспорта AVI2.0
1/1/70#0,Quality settings,Настройки качества
1/1/71#0,Attributes,Атрибуты
1/1/72#0,PCM ,
1/1/73#0,"You can export videos smaller than 2GB.

Most programs and devices support this video format and it is safer than exporting in AVI2.0.

It may not be possible to make the background color transparent depending on the video settings.

",
1/1/74#0,"You can export videos bigger than 2GB.

However, there are programs and devices which don’t support this format and it might not be able to play it correctly.

Moreover, Clip Studio software won’t be able to read the format if the video is bigger than 2GB.

It may not be possible to make the background color transparent depending on the video settings.

",
1/1/75#0,This format supports exporting in sizes with a width of up to 7680 and a height of up to 4320.,Этот формат поддерживает экспорт с шириной до 7680 и высотой до 4320.
1/1/76#0,This format supports exporting in sizes with a width of up to 3840 and a height of up to 2160.,Этот формат поддерживает экспорт с шириной до 3840 и высотой до 2160.
1/1/77#0,This format supports exporting in sizes with a width of up to 1920 and a height of up to 1080.,Этот формат поддерживает экспорт с шириной до 1920 и высотой до 1080.
1/1/78#0,"In this format, you can export between %d–%d px wide and %d–%d px high.",В этом формате можно экспортировать с шириной %d–%d пикс. и высотой %d–%d пикс.
1/1/79#0,"In this format, you can export up to %d px wide and %d px high.",В этом формате можно экспортировать с шириной до %d пикс. и высотой до %d пикс.
1/1/80#0,"This video may not be exported properly as the export width or height is greater than 2048.
Do you want to proceed?",
1/1/81#0,"This video may not be reproduced properly as the export width or height is greater than 2048.
Do you want to proceed?",
1/1/17#0,Scaling settings,Настройки масштабирования
1/1/18#0,Width,Ширина
1/1/21#0,Height,Высота
1/1/82#0,Fix scaling,Зафиксировать масштаб
1/1/25#0,Apply 2D camera effects,Применить эффекты 2D-камеры
1/1/88#0, 96 kbps (low sound quality), 96 кбит/с (низкое качество звука)
1/1/89#0,128 kbps (standard sound quality),128 кбит/с (стандартное качество звука)
1/1/90#0,160 kbps (high sound quality),160 кбит/с (высокое качество звука)
1/1/91#0,192 kbps (highest sound quality),192 кбит/с (наивысшее качество звука)
1/1/92#0,Failed to export movie.,Не удалось экспортировать видео.
1/1/93#0,"Failed to export movie.
There may not be sufficient memory. Please try the following and export again.

- Close other canvases and applications
- Make the movie canvas height/width smaller, or reduce the frame rate 
- Divide the timeline and export it as separate parts

",
1/1/94#0,"Failed to export movie.
You cannot export a movie to this device with the current settings.

Please try again after making the movie canvas height/width smaller, or reducing the frame rate.",
2/1/1#0,AVI files larger than 2GB cannot be imported. The file size needs to be reduced.,Файлы AVI размером более 2 ГБ нельзя импортировать. Размер файла необходимо уменьшить.
2/1/2#0,All supported formats,Все поддерживаемые форматы
2/1/3#0,AVI (*.avi)|*.avi,
2/1/4#0,MP4 (*.mp4)|*.mp4,
2/1/5#0,QuickTime Movie(*.mov)|*.mov,Видео QuickTime(*.mov)|*.mov
