word,count
kindle,8
preview,8
the,7
tool,7
for,5
s,4
size,4
quality,3
about,2
app,2
application,2
cancel,2
d,2
do,2
is,2
not,2
path,2
recommended,2
set,2
settings,2
to,2
amazonaws,1
ap,1
be,1
because,1
browse,1
button,1
cannot,1
celiceappprod,1
com,1
converting,1
custom,1
data,1
en,1
exe,1
executed,1
export,1
exported,1
format,1
gd,1
go,1
gray,1
guide,1
height,1
high,1
html,1
https,1
information,1
install,1
installation,1
installed,1
kdp,1
large,1
low,1
make,1
more,1
northeast,1
of,1
operation,1
output,1
page,1
paint,1
press,1
required,1
reset,1
small,1
this,1
tone,1
top,1
us,1
want,1
width,1
x,1
you,1
