key,source,target
1/1/1#0,Camera,Камера
1/1/2#0,Camera,Камера
1/1/3#0,Ambient light,Окружающий свет
1/1/4#0,Directional light %d,Направленный источник света %d
1/1/5#0,Group,Сгруппировать
1/1/6#0,Panorama,Панорама
1/1/7#0,3D character,3D-персонаж
1/1/8#0,3D Object,3D-объект
1/1/9#0,3D background,3D-фон
1/1/10#0,3D drawing figure,3D-фигура для рисования
1/1/11#0,3D primitive,3D-примитив
1/1/12#0,3D hand model,3D-модель руки
1/1/13#0,3D head model,3D-модель головы
1/1/14#0,3D hand model (left),3D-модель кисти руки (левая)
1/1/15#0,3D hand model (right),3D-модель кисти руки (правая)
