source,target
User,Пользователь
Cloud Menu,Меню облака
Notifications,Уведомления
Direct messages,Личные сообщения
My Page on CLIP,Моя страница на CLIP
Account,Учётная запись
Edit profile,Редактировать профиль
Manage Monthly Plans,Управление ежемесячными планами
Logout,Выйти
Close,Закрыть
Cloud Settings,Настройки облака
Automatic synchronization settings,Настройки автоматической синхронизации
Download (initial) installable materials from CLIP Cloud,Загрузить (первоначальные) устанавливаемые материалы из CLIP Cloud
App settings backup,Резервная копия настроек приложения
Synchronizing created materials,Синхронизация созданных материалов
Synchronizing works,Синхронизация произведений
Other settings,Прочие настройки
Delete matching data in the Cloud,Удалить соответствующие данные в облаке
Use,Использовать
Do not use,Не использовать
Cancel,Отмена
Error,Ошибка
Resolve this issue,Устранить эту проблему
Copy to clipboard,Копировать в буфер обмена
Copied to clipboard.,Скопировано в буфер обмена.
Cloud,Облако
Notifications (%d+%d),Уведомления (%d+%d)
Log in,Войти
Data Transfers ,Передача данных 
Settings,Настройки
Help,Справка
Important Notifications,Важные уведомления
Manage works,Управление произведениями
Manage materials,Управление материалами
Service Menu,Меню службы
Companion mode,Режим компаньона
Log Out,Выйти
CELSYS News,Новости CELSYS
Notifications For You,Уведомления для вас
Notification,Уведомление
Direct message,Личное сообщение
Manage,Управление
Service,Сервис
Export/Publish,Экспорт/Публикация
ASSETS,МАТЕРИАЛЫ
Licensed Materials,Лицензированные материалы
Plug-in Store,Магазин подключаемых модулей
ASK,Вопросы и ответы
TIPS,
Search CLIP STUDIO,Поиск в CLIP STUDIO
"Are you sure you want to organize these materials database? 
*Note: Do not start other applications in the CLIP STUDIO series while this operation is in progress.",
"Organization of materials database failed. 
Please try again.",
Organizing materials database...,Упорядочивание базы данных материалов...
Organization of materials database was completed.,Упорядочивание базы данных материалов завершено.
"Organization of materials database was completed, but registration of some materials may have failed due to causes such as corruption of the files.","Упорядочивание базы данных материалов завершено, но регистрация некоторых материалов могла не выполниться из-за таких причин, как повреждение файлов."
"Are you sure you want to organize the material folders? 
Important: Do not start other Clip Studio applications while this operation is in progress.",
"Your materials will be reorganized.
Please note:
・Folder orders will be reset.
・Empty folders without any materials will be deleted.
・You may not start other applications in the Clip Studio series while this operation is in progress.

Do you want to continue?",
"Failed to organize material folders. 
Please try again.",
Organizing material folders...,Упорядочивание папок материалов...
Finished organizing material folders.,Упорядочивание папок материалов завершено.
"Are you sure you want to organize the works? 
*Note: Do not start other applications in the CLIP STUDIO series while this operation is in progress.",
"Organization of works database failed. 
Please try again.",
Organizing work database...,Упорядочивание базы данных произведений...
Organization of works database was completed.,Упорядочивание базы данных произведений завершено.
