word,count
the,2012
of,1056
to,897
or,573
and,560
in,415
is,374
a,369
this,337
for,281
you,276
when,273
be,231
on,226
set,226
line,223
by,218
color,209
any,206
with,205
software,200
layer,168
select,157
as,156
not,153
will,150
from,148
text,148
use,148
copyright,144
d,143
license,143
lines,141
brush,134
that,128
can,122
change,119
if,119
adjust,101
whether,101
source,94
point,93
other,92
such,88
shape,87
are,85
including,84
it,84
settings,83
without,81
frame,78
position,78
work,78
selected,77
shall,76
size,76
drawing,74
all,73
angle,73
notice,72
add,70
area,70
specify,69
value,69
create,66
form,66
how,65
only,65
selection,65
turned,65
conditions,64
points,63
control,62
move,62
object,61
ruler,61
used,61
may,60
file,59
but,58
reference,58
under,58
colors,57
provided,57
an,56
at,56
fill,56
each,55
mode,55
no,55
contributor,54
snap,53
camera,52
copy,52
image,52
make,52
number,52
new,51
s,51
version,51
curve,50
button,49
center,49
do,49
liability,49
light,49
apply,48
following,48
border,47
ratio,46
canvas,45
choose,45
gap,45
opacity,45
setting,45
edit,44
horizontal,44
rotation,44
tip,44
c,43
rights,43
texture,43
code,42
direction,42
vector,42
width,42
must,41
otherwise,41
between,40
damages,40
permission,40
pose,40
up,40
your,40
limited,39
material,39
option,39
vertical,39
warranties,39
works,39
above,38
drag,38
draw,38
implied,38
perspective,38
terms,38
have,37
included,37
layers,37
so,37
covered,36
derivative,36
files,36
space,36
stroke,36
distribute,35
folder,35
pen,35
rotate,35
click,34
degree,34
effect,34
its,33
more,33
off,33
purpose,33
reading,33
scale,33
warranty,33
balloon,32
documentation,32
grid,32
one,32
process,32
show,32
list,31
materials,31
particular,31
pin,31
right,31
within,31
after,30
copies,30
dragging,30
gradient,30
part,30
which,30
black,29
granted,29
changes,28
contract,28
end,28
out,28
switch,28
tool,28
type,28
where,28
edge,27
event,27
free,27
left,27
liable,27
model,27
special,27
start,27
arising,26
b,26
delete,26
density,26
display,26
distribution,26
entity,26
even,26
express,26
length,26
limitation,26
product,26
selecting,26
sub,26
transparent,26
while,26
current,25
fitness,25
hand,25
main,25
merchantability,25
two,25
using,25
cannot,24
character,24
circle,24
flip,24
font,24
means,24
method,24
name,24
notices,24
operation,24
original,24
patent,24
rulers,24
tort,24
body,23
created,23
drawn,23
gray,23
palette,23
range,23
specified,23
speed,23
there,23
anti,22
correction,22
editing,22
modify,22
quality,22
sets,22
also,21
charge,21
clicking,21
contribution,21
disclaimer,21
exclude,21
figure,21
hereby,21
licenses,21
want,21
areas,20
characters,20
contributors,20
kind,20
licensor,20
mean,20
portions,20
same,20
sell,20
transformation,20
turn,20
we,20
action,19
aliasing,19
different,19
divide,19
lasso,19
library,19
modifications,19
objects,19
subject,19
view,19
according,18
additional,18
appear,18
available,18
background,18
blend,18
claim,18
direct,18
distance,18
erase,18
extended,18
save,18
about,17
bezier,17
binary,17
forms,17
holders,17
keep,17
mixing,17
outline,17
pale,17
starting,17
whole,17
automatically,16
dark,16
include,16
indirect,16
inside,16
into,16
larger,16
manipulator,16
multiple,16
pixels,16
redistributions,16
refer,16
remove,16
reset,16
sublicense,16
thickness,16
time,16
watercolor,16
aspect,15
authors,15
borders,15
connection,15
down,15
edges,15
either,15
fixed,15
fog,15
has,15
however,15
location,15
low,15
moving,15
owner,15
publish,15
side,15
spacing,15
strength,15
symmetry,15
them,15
top,15
vivid,15
associated,14
been,14
blending,14
consequential,14
contributions,14
creating,14
except,14
filling,14
high,14
incidental,14
legal,14
muddy,14
scaling,14
specific,14
than,14
then,14
vanishing,14
white,14
whom,14
applied,13
axis,13
deal,13
dealings,13
dust,13
ending,13
focus,13
horizontally,13
inc,13
initial,13
input,13
marks,13
merge,13
non,13
noninfringement,13
obtaining,13
parallel,13
path,13
permit,13
persons,13
pixel,13
possibility,13
previous,13
register,13
reproduce,13
reserved,13
section,13
single,13
smooth,13
stabilization,13
straight,13
tail,13
vertically,13
