key,source,target
1/1/1#0,Exporting data...,Exporting data...
1/1/2#0,"This will export the work “%s”. 
 Do you want to continue?","This will export the work “%s”. 
 Do you want to continue?"
1/1/3#0,Please download the latest version of Clip Studio Paint to export your work.,Please download the latest version of Clip Studio Paint to export your work.
1/1/4#0,Download latest version,Download latest version
1/1/6#0,"This feature is not available on the version of Clip Studio that you have installed. 
Please download the latest version and try again.","This feature is not available on the version of Clip Studio that you have installed. 
Please download the latest version and try again."
1/1/7#0,Failed to acquire rendering parameters.,Failed to acquire rendering parameters.
1/1/8#0,"The server is currently under maintenance, so the rendering parameters could not be retrieved.","The server is currently under maintenance, so the rendering parameters could not be retrieved."
1/1/9#0,Failed to retrieve draft ID.,Failed to retrieve draft ID.
1/1/10#0,Failed to retrieve URL for upload.,Failed to retrieve URL for upload.
1/1/11#0,Failed to upload the file.,Failed to upload the file.
1/1/12#0,Uploading your work. Your work will not be made public until you publish your post.,Uploading your work. Your work will not be made public until you publish your post.
