key,source,target
1/1/8#0,BG parts,BG parts
1/1/9#0,Matrial preset,Matrial preset
1/1/10#0,Angle preset,Angle preset
1/1/11#0,Layout preset,Layout preset
1/1/12#0,Pose preset,Pose preset
1/1/13#0,Situation preset,Situation preset
1/1/14#0,Feature point,Feature point
1/1/16#0,Hair style,Hair style
1/1/17#0,Facial expression,Facial expression
1/1/29#0,Background parts,Background parts
1/1/30#0,Material preset,Material preset
1/1/31#0,Angle preset,Angle preset
1/1/32#0,Layout preset,Layout preset
1/1/33#0,Moveable preset,Moveable preset
1/1/37#0,Movable parts,Movable parts
1/1/39#0,Small object,Small object
1/1/41#0,Character Motion,Character Motion
1/1/42#0,Unique point,Unique point
2/1/1#0,"

#version 110
void main(void)
{
    vec3 normal = normalize(gl_NormalMatrix * gl_Normal);	// カメラ座標に変換。
    gl_TexCoord[0].st = (normal.xy + vec2(1.0, 1.0)) / 2.0;		// -1～1を0～1に変換。
    gl_Position = ftransform();
}

","

#version 110
void main(void)
{
    vec3 normal = normalize(gl_NormalMatrix * gl_Normal);	// カメラ座標に変換。
    gl_TexCoord[0].st = (normal.xy + vec2(1.0, 1.0)) / 2.0;		// -1～1を0～1に変換。
    gl_Position = ftransform();
}

"
2/1/2#0,"

#version 110
uniform sampler2D diffusemap;
void main(void)
{
    vec4 color = texture2D(diffusemap, gl_TexCoord[0].st); // diffuseを使う
    gl_FragColor = color;
}

","

#version 110
uniform sampler2D diffusemap;
void main(void)
{
    vec4 color = texture2D(diffusemap, gl_TexCoord[0].st); // diffuseを使う
    gl_FragColor = color;
}

"
