key,source,target
1/1/1#0,Program Files,Program Files
1/1/3#0,OpenToonz 1.%d,OpenToonz 1.%d
2/1/3#0,"It is necessary to install OpenToonz to export OpenToonz scene files. 
 Please check the OpenToonz Official Website to learn more about OpenToonz.","Для экспорта файлов сцен OpenToonz необходимо установить OpenToonz. 
 Чтобы узнать больше об OpenToonz, посетите официальный веб-сайт OpenToonz."
2/1/7#0,OpenToonz Official Home Page,Официальная домашняя страница OpenToonz
2/1/9#0,Install path settings for OpenToonz,Настройки пути установки OpenToonz
2/1/13#0,Browse,Обзор
2/1/5#0,Cancel,Отмена
2/1/15#0,Install path settings for OpenToonz,Настройки пути установки OpenToonz
2/1/16#0,Install path settings for OpenToonz,Настройки пути установки OpenToonz
2/1/17#0,Unknown error.,Неизвестная ошибка.
2/1/18#0,OpenToonz install path not specified.,Путь установки OpenToonz не указан.
2/1/19#0,Could not find “%s”.,Не удалось найти “%s”.
2/1/20#0,Application|*.app,Приложение|*.app
3/1/1#0,Exporting file. (%d/%d),Экспорт файла. (%d/%d)
