source,target
Launch in doodle mode,Запустить в режиме набросков
Try Clip Studio Paint,Попробовать Clip Studio Paint
You cannot save or export this project.,Этот проект нельзя сохранить или экспортировать.
What's the difference between PRO and EX?,В чём разница между PRO и EX?
Get Started,Начать работу
https://us-lic.celsys.co.jp/gd/index.php?id=csp-func-en,https://us-lic.celsys.co.jp/gd/index.php?id=csp-func-en
Contact us,Связаться с нами
Serial number:,Серийный номер:
Order number:,Номер заказа:
License number:,Номер лицензии:
https://support.clip-studio.com/en-us/app-receptions/authentication-release-limitations,https://support.clip-studio.com/en-us/app-receptions/authentication-release-limitations
