source,target
BOOK VIEWER,BOOK VIEWER
"CELSYS, Inc.","CELSYS, Inc."
.:CELSYS:BOOK VIEWER:1.0,.:CELSYS:BOOK VIEWER:1.0
.:CELSYS:BOOK VIEWER Ver1 Settings,.:CELSYS:BOOK VIEWER Ver1 Settings
3D Preview for Binding,3D-просмотр переплёта
About 3D Preview for Binding,О 3D-просмотре переплёта
Version information,Сведения о версии
Quit 3D Preview for Binding,Выйти из 3D-просмотра переплёта
Select All,Выделить всё
Next page (Left binding: Previous page),Следующая страница (переплёт слева: предыдущая страница)
Previous page (Left binding: Next page),Предыдущая страница (переплёт слева: следующая страница)
Open / Close,Открыть / закрыть
Zoom In,Увеличить
Zoom Out,Уменьшить
Zoom Reset,Сбросить масштаб
Saddle Stitch/Side Stitch Binding,Переплёт внакидку / втачку
/ %d page,/ %d стр.
"BOOK VIEWER (C) CELSYS, Inc. All Rights Reserved.

    Product Version: %s","BOOK VIEWER (C) CELSYS, Inc. All Rights Reserved.

    Версия продукта: %s"
