key,source,target
1/1/1#0,Monthly/annual plan bonus material,Бонусный материал месячного/годового плана
1/1/2#0,Bonus,Бонус
1/1/3#0,Log in,Войти
1/1/4#0,You need to log in to use this material.,Для использования этого материала необходимо войти в систему.
1/1/5#0,In order to use this material,Для использования этого материала
1/1/6#0,"You need to be signed up for an eligible monthly plan or annual plan to use the following materials.

","Для использования следующих материалов необходимо оформить подходящий месячный или годовой план.

"
1/1/7#0,"You can use the following materials by downloading them again.

","Вы можете использовать следующие материалы, загрузив их повторно.

"
1/1/8#0,"The following materials can be used by logging in with the Clip Studio account that was used to download them.

","Следующие материалы можно использовать, войдя в учётную запись Clip Studio, с которой они были загружены.

"
1/1/9#0,"Logged in as this contains bonus materials. 
Please try again to use the materials.","Поскольку здесь содержатся бонусные материалы, выполнен вход. 
Повторите попытку, чтобы использовать материалы."
1/1/10#0,"This contains bonus materials, so please log in.","Здесь содержатся бонусные материалы, поэтому войдите в систему."
1/1/11#0,"You need to be signed up for an eligible monthly plan or annual plan to use this feature.
Please check your license and try again.","Для использования этой функции необходимо оформить подходящий месячный или годовой план.
Проверьте свою лицензию и повторите попытку."
