source,target
Monthly/annual plan bonus material,Бонусный материал месячного/годового плана
Bonus,Бонус
Log in,Войти
You need to log in to use this material.,Для использования этого материала необходимо войти в систему.
In order to use this material,Для использования этого материала
"You need to be signed up for an eligible monthly plan or annual plan to use the following materials.

",Для использования следующих материалов необходима подходящая месячная или годовая подписка.
"You can use the following materials by downloading them again.

","Вы можете использовать следующие материалы, загрузив их снова."
"The following materials can be used by logging in with the Clip Studio account that was used to download them.

","Следующие материалы можно использовать, войдя в учётную запись Clip Studio, с которой они были загружены."
"Logged in as this contains bonus materials. 
Please try again to use the materials.","Вы вошли в систему, но здесь содержатся бонусные материалы. 
Повторите попытку, чтобы использовать материалы."
"This contains bonus materials, so please log in.","Здесь содержатся бонусные материалы, поэтому войдите в систему."
"You need to be signed up for an eligible monthly plan or annual plan to use this feature.
Please check your license and try again.","Для использования этой функции необходима подходящая месячная или годовая подписка.
Проверьте лицензию и повторите попытку."
