key,source,target
1/1/44#0,Assign multiple cels,Assign multiple cels
1/1/5#0,Assign by value,Assign by value
1/1/7#0,Assign by cel name,Assign by cel name
1/1/8#0,Assign cels,Assign cels
1/1/10#0,Start number,Start number
1/1/13#0,End number,End number
1/1/17#0,Start cel,Start cel
1/1/19#0,End cel,End cel
1/1/21#0,Number of frames,Number of frames
1/1/24#0,Repeat settings,Repeat settings
1/1/26#0,Number of repeats,Number of repeats
1/1/30#0,Repeat to end,Repeat to end
1/1/31#0,Advanced settings,Advanced settings
1/1/33#0,Add empty frames between cels,Add empty frames between cels
1/1/35#0,Number of frames,Number of frames
1/1/39#0,Skip cel numbers,Skip cel numbers
1/1/41#0,Number of cels,Number of cels
2/1/65#0,Animated GIF export settings,Animated GIF export settings
2/1/66#0,Animated sticker (APNG) export settings ,Animated sticker (APNG) export settings 
2/1/67#0,Animated WebP Export Settings,Animated WebP Export Settings
2/1/15#0,Export range,Export range
2/1/22#0,Frame rate,Frame rate
2/1/29#0,Loop count,Loop count
2/1/69#0,Number of loops,Number of loops
2/1/41#0,Export options,Export options
2/1/47#0,Delete blank spaces,Delete blank spaces
2/1/49#0,Color reduction,Color reduction
2/1/45#0,Export transparency,Export transparency
2/1/70#0,Background color,Background color
2/1/51#0,Export transparency,Export transparency
2/1/53#0,Compression method,Compression method
2/1/55#0,Prioritize quality,Prioritize quality
2/1/57#0,Prioritize file size,Prioritize file size
2/1/38#0,Playback time: 0.00 s ( Image number: 1 ),Playback time: 0.00 s ( Image number: 1 )
2/1/71#0,Playback time: %0.1f s ( Image number: %d ),Playback time: %0.1f s ( Image number: %d )
2/1/72#0,Exporting animated GIF,Exporting animated GIF
2/1/73#0,Exporting animated sticker (APNG),Exporting animated sticker (APNG)
2/1/74#0,Exporting animated WebP,Exporting animated WebP
3/1/19#0,Manage timeline,Manage timeline
3/1/20#0,Manage shots,Manage shots
3/1/6#0,New timeline,New timeline
3/1/8#0,New script,New script
3/1/14#0,Change settings,Change settings
3/1/16#0,Move up,Move up
3/1/18#0,Move down,Move down
4/1/65#0,Image sequence export settings,Image sequence export settings
4/1/8#0,Add to presets,Add to presets
4/1/10#0,Edit preset,Edit preset
4/1/12#0,Export to,Export to
4/1/16#0,File name settings,File name settings
4/1/17#0,File name,File name
4/1/19#0,File prefix,File prefix
4/1/21#0,File suffix,File suffix
4/1/25#0,Start number,Start number
4/1/28#0,Advanced Settings,Advanced Settings
4/1/34#0,Export draft,Export draft
4/1/36#0,Export frames,Export frames
4/1/38#0,Embed ICC profile,Embed ICC profile
4/1/41#0,Size Settings,Size Settings
4/1/43#0,Drawing area,Drawing area
4/1/66#0,Output frame,Output frame
4/1/67#0,Overflow frame,Overflow frame
4/1/68#0,Selection area,Selection area
4/1/69#0,Entire canvas,Entire canvas
4/1/46#0,Output image,Output image
4/1/70#0,Fix scaling,Fix scaling
4/1/56#0,Apply 2D camera effects,Apply 2D camera effects
4/1/58#0,Frame export,Frame export
4/1/71#0,All frames,All frames
4/1/72#0,Frame area,Frame area
4/1/62#0,Frame rate,Frame rate
4/1/74#0,Make background color transparent,Make background color transparent
4/1/75#0,Show shadow,Show shadow
4/1/82#0,Select export folder.,Select export folder.
4/1/83#0,Could not find the specified folder.,Could not find the specified folder.
4/1/84#0,Please enter file name.,Please enter file name.
4/1/85#0,A file with the same name as the folder already exists.,A file with the same name as the folder already exists.
4/1/86#0,"Files with the same name as the export files already exist in the export folder.
These files will be overwritten. Do you want to proceed?","Files with the same name as the export files already exist in the export folder.
These files will be overwritten. Do you want to proceed?"
4/1/87#0,A folder with the same name already exists. Would you like to save the file to the existing folder?,A folder with the same name already exists. Would you like to save the file to the existing folder?
4/1/88#0,You cannot save images with a height or width of more than %d px in this format.,You cannot save images with a height or width of more than %d px in this format.
4/1/89#0,"Due to the file name settings, some file names may exceed %d characters: 

%s
(%d characters)

If you continue, the file may not be exported due to system restrictions. 
We recommend you rename with a shorter name.
Do you want to continue exporting anyway?","Due to the file name settings, some file names may exceed %d characters: 

%s
(%d characters)

If you continue, the file may not be exported due to system restrictions. 
We recommend you rename with a shorter name.
Do you want to continue exporting anyway?"
4/1/92#0,"The output size of  %d by %d  px registered for this preset cannot be applied due to the aspect ratio of the current canvas.
The output size will be set to %d by%dpx.","The output size of  %d by %d  px registered for this preset cannot be applied due to the aspect ratio of the current canvas.
The output size will be set to %d by%dpx."
5/1/31#0,BMP settings,BMP settings
5/1/32#0,JPEG settings,JPEG settings
5/1/33#0,PNG settings,PNG settings
5/1/34#0,TGA settings,TGA settings
5/1/35#0,WebP Settings ,WebP Settings 
5/1/18#0,8 bit,8 bit
5/1/20#0,16 bit,16 bit
5/1/6#0,24 bit,24 bit
5/1/8#0,32 bit,32 bit
5/1/4#0,Color depth,Color depth
5/1/25#0,Prioritize quality,Prioritize quality
5/1/27#0,Prioritize file size,Prioritize file size
6/1/9#0,Edit preset,Edit preset
6/1/8#0,Rename preset,Rename preset
6/1/14#0,Confirm edit?,Confirm edit?
6/1/15#0,"Preset with the same name already exist.
Overwrite?","Preset with the same name already exist.
Overwrite?"
6/1/16#0,"“%s“ cannot be registered.
Please enter a different preset name.","“%s“ cannot be registered.
Please enter a different preset name."
6/1/18#0,Change name,Change name
7/1/5#0,Apply to all models,Apply to all models
7/1/29#0,Save as default,Save as default
7/1/30#0,Reset to default,Reset to default
7/1/33#0,Physical settings,Physical settings
7/1/6#0,Set selected models,Set selected models
7/1/14#0,Bending spring,Bending spring
7/1/21#0,Bend toes automatically,Bend toes automatically
7/1/22#0,3D layer settings,3D layer settings
7/1/23#0,Physical operation,Physical operation
7/1/26#0,Skirt only,Skirt only
7/1/28#0,Physical operation for skirt only,Physical operation for skirt only
7/1/17#0,Ground height,Ground height
7/1/34#0,During dragging and playback,During dragging and playback
7/1/35#0,During playback only,During playback only
7/1/36#0,Do not use physical operation,Do not use physical operation
8/1/5#0,Apply to all models,Apply to all models
8/1/59#0,Save as default,Save as default
8/1/60#0,Reset to default,Reset to default
8/1/63#0,Rendering settings,Rendering settings
8/1/6#0,Set selected models,Set selected models
8/1/9#0,Add outline,Add outline
8/1/17#0,Offset amount,Offset amount
8/1/57#0,Rendering Method,Rendering Method
8/1/65#0, , 
8/1/24#0,Apply light source,Apply light source
8/1/29#0,Cast shadows,Cast shadows
8/1/32#0,Use texture,Use texture
8/1/37#0,Alpha test,Alpha test
8/1/41#0,Backface culling,Backface culling
8/1/42#0,3D layer settings,3D layer settings
8/1/43#0,Clipping planes,Clipping planes
8/1/45#0,Set automatically when resetting camera,Set automatically when resetting camera
8/1/47#0,Near plane,Near plane
8/1/51#0,Far plane,Far plane
8/1/55#0,Apply light source,Apply light source
8/1/66#0,Shadows follow light source,Shadows follow light source
8/1/67#0,Ver. 1.11.4 or earlier,Ver. 1.11.4 or earlier
8/1/68#0,Ver. 1.12.3 or earlier,Ver. 1.12.3 or earlier
8/1/71#0,Connect polygons,Connect polygons
8/1/77#0,Toon shading,Toon shading
8/1/78#0,Summer sunlight,Summer sunlight
8/1/81#0,Alpha test,Alpha test
8/1/82#0,Alpha threshold,Alpha threshold
8/1/83#0,Cast shadows down,Cast shadows down
8/1/84#0,Follow light source,Follow light source
8/1/86#0,Ver. 1.12.3 or earlier,Ver. 1.12.3 or earlier
8/1/87#0,Ver. 1.11.4 or earlier,Ver. 1.11.4 or earlier
9/1/5#0,Select layer,Select layer
9/1/8#0,Enter layer name,Enter layer name
9/1/13#0,Select layer,Select layer
10/1/16#0,Audio export settings,Audio export settings
10/1/5#0,Export frame settings,Export frame settings
10/1/17#0,All frames,All frames
10/1/11#0,Audio settings,Audio settings
10/1/18#0,Quality settings,Quality settings
10/1/20#0,PCM ,PCM 
10/1/21#0,Configure audio settings.,Configure audio settings.
11/1/4#0,Script name,Script name
11/1/6#0,New script,New script
11/1/7#0,Duplicate script,Duplicate script
11/1/8#0,Change settings,Change settings
12/1/12#0,(Seconds + frames),(Seconds + frames)
13/1/10#0,Start frame,Start frame
13/1/11#0,End frame,End frame
13/1/12#0,Current frame,Current frame
13/1/13#0,Playback speed,Playback speed
13/1/14#0,%0.1f fps,%0.1f fps
13/1/18#0,Keyframe interpolation,Keyframe interpolation
13/1/19#0,Zoom In,Zoom In
13/1/20#0,Zoom Out,Zoom Out
13/1/21#0,Create keyframe: Hold interpolation,Create keyframe: Hold interpolation
13/1/22#0,Create keyframe: Linear interpolation,Create keyframe: Linear interpolation
13/1/23#0,Create keyframe: Smooth interpolation,Create keyframe: Smooth interpolation
14/1/8#0,New timeline,New timeline
14/1/9#0,Duplicate timeline,Duplicate timeline
14/1/10#0,Change settings,Change settings
14/1/11#0,Change frame rate,Change frame rate
15/1/59#0,Change settings,Change settings
15/1/60#0,Frame settings,Frame settings
15/1/61#0,Shot information,Shot information
15/1/2#0,Timeline name,Timeline name
15/1/4#0,Frame rate,Frame rate
15/1/58#0,Change total number of frames,Change total number of frames
15/1/10#0,Playback time,Playback time
15/1/13#0,Scene number,Scene number
15/1/16#0,Shot number,Shot number
15/1/34#0,Set timeline name automatically,Set timeline name automatically
15/1/8#0,Drop frame,Drop frame
15/1/38#0,Playback method,Playback method
15/1/20#0,Division line,Division line
15/1/43#0,Start frame,Start frame
15/1/45#0,End frame,End frame
15/1/51#0,Number of cels,Number of cels
15/1/24#0,Image interpolation,Image interpolation
15/1/48#0,How to show frames,How to show frames
15/1/62#0,Frame number (from 0),Frame number (from 0)
15/1/63#0,Frame number (from 1),Frame number (from 1)
15/1/64#0,Seconds + frame,Seconds + frame
15/1/65#0,Time code,Time code
15/1/66#0,1-frame units (for movies),1-frame units (for movies)
15/1/67#0,Use decimal values (for 3D motions),Use decimal values (for 3D motions)
15/1/68#0,Smooth edges (bilinear),Smooth edges (bilinear)
15/1/69#0,Hard edges (nearest neighbor),Hard edges (nearest neighbor)
15/1/70#0,Clear edges (bicubic),Clear edges (bicubic)
15/1/71#0,High accuracy (average colors),High accuracy (average colors)
15/1/82#0, fps, fps
15/1/83#0,Please enter the timeline name.,Please enter the timeline name.
15/1/84#0,Set the end frame value so that it is higher than the start frame value.,Set the end frame value so that it is higher than the start frame value.
15/1/85#0,The start and end frame values cannot be changed.,The start and end frame values cannot be changed.
15/1/86#0,The value exceeds the range that can be set for the timeline.,The value exceeds the range that can be set for the timeline.
15/1/87#0, %d seconds + %d frames, %d seconds + %d frames
15/1/88#0,%0.1f seconds,%0.1f seconds
15/1/89#0,%d (%ds),%d (%ds)
16/1/3#0,"The animation folder composition for this canvas does not match the Digital Exposure Sheet file.
 Please choose from the following options to manage the animation folders in this document. 
The Digital Exposure Sheet information will not be affected.","The animation folder composition for this canvas does not match the Digital Exposure Sheet file.
 Please choose from the following options to manage the animation folders in this document. 
The Digital Exposure Sheet information will not be affected."
16/1/13#0,Import Toei Digital Exposure Sheet,Import Toei Digital Exposure Sheet
16/1/9#0,Deletes the selected animation folder,Deletes the selected animation folder
16/1/7#0,Hides the selected animation folder,Hides the selected animation folder
16/1/14#0,"There are cels below the selected folder, so you cannot choose this option.","There are cels below the selected folder, so you cannot choose this option."
16/1/15#0,"The selected folder is locked, so you cannot choose this option.","The selected folder is locked, so you cannot choose this option."
16/1/16#0,"The selected 2D camera folder has keyframes, so you cannot choose this option.","The selected 2D camera folder has keyframes, so you cannot choose this option."
17/1/5#0,Select from List,Select from List
18/1/14#0,Add to presets,Add to presets
18/1/16#0,Change name,Change name
18/1/2#0,Preset name,Preset name
18/1/5#0,Items to be included in preset,Items to be included in preset
18/1/18#0,Please enter preset name.,Please enter preset name.
18/1/19#0,"Preset with the same name already exist.
Overwrite?","Preset with the same name already exist.
Overwrite?"
18/1/20#0,"“%s“ cannot be registered.
Please enter a different preset name.","“%s“ cannot be registered.
Please enter a different preset name."
19/1/13#0,Create timeline label,Create timeline label
19/1/14#0,Create track label,Create track label
19/1/4#0,Label name,Label name
19/1/11#0,Frame ,Frame 
19/1/15#0,Please enter name.,Please enter name.
19/1/16#0,A label with the same name already exists.,A label with the same name already exists.
20/1/5#0,Go to timeline label,Go to timeline label
20/1/6#0,The label cannot be moved as it is not in the playback range.,The label cannot be moved as it is not in the playback range.
21/1/6#0,Go to specified frame,Go to specified frame
21/1/4#0,Frame number,Frame number
22/1/8#0,Left blink,Left blink
22/1/9#0,Right blink,Right blink
22/1/15#0,Look up,Look up
22/1/16#0,Look down,Look down
22/1/17#0,Look left,Look left
22/1/18#0,Look right,Look right
23/1/5#0,Head length,Head length
23/1/6#0,Head width,Head width
23/1/7#0,Neck length,Neck length
23/1/8#0,Neck width,Neck width
23/1/9#0,Torso length,Torso length
23/1/10#0,Torso width,Torso width
23/1/11#0,Arm length,Arm length
23/1/12#0,Arm width,Arm width
23/1/13#0,Leg length,Leg length
23/1/14#0,Leg width,Leg width
23/1/15#0,Hand length,Hand length
23/1/16#0,Hand width,Hand width
23/1/17#0,Foot length,Foot length
23/1/18#0,Foot width,Foot width
23/1/19#0,Shoulder width,Shoulder width
23/1/20#0,Waist width,Waist width
24/1/7#0,Limit hand mixer,Limit hand mixer
24/1/8#0,Limit the hand mixer so the model does not distort,Limit the hand mixer so the model does not distort
24/1/9#0,Reset the hand mixer to the basic hand,Reset the hand mixer to the basic hand
24/1/10#0,All fingers,All fingers
24/1/12#0,Index finger,Index finger
24/1/13#0,Middle finger,Middle finger
24/1/14#0,Ring finger,Ring finger
24/1/15#0,Pinky finger,Pinky finger
24/1/18#0,Finger length,Finger length
24/1/19#0,Finger thickness,Finger thickness
24/1/20#0,Fingertip taper,Fingertip taper
24/1/21#0,Nail length,Nail length
24/1/22#0,Nail width,Nail width
24/1/23#0,Nail shape,Nail shape
24/1/24#0,Palm width,Palm width
24/1/25#0,Palm height,Palm height
24/1/26#0,Palm thickness,Palm thickness
24/1/27#0,Hand veins,Hand veins
24/1/28#0,Vein prominence,Vein prominence
24/1/29#0,Show wristbone,Show wristbone
24/1/30#0,Wrist width,Wrist width
24/1/31#0,Reset selected parameters,Reset selected parameters
25/1/1#0,Cartoon - soft,Cartoon - soft
25/1/2#0,Anime - soft,Anime - soft
25/1/3#0,Realistic - soft,Realistic - soft
25/1/6#0,Cartoon - sharp,Cartoon - sharp
25/1/7#0,Anime - sharp,Anime - sharp
25/1/8#0,Realistic - sharp,Realistic - sharp
25/1/10#0,Face Mixer,Face Mixer
25/1/11#0,Limit face mixer,Limit face mixer
25/1/12#0,Limit the face mixer so that features are not distorted,Limit the face mixer so that features are not distorted
25/1/13#0,Reset the face mixer to the basic face,Reset the face mixer to the basic face
25/1/15#0,Reset the current facial feature sliders,Reset the current facial feature sliders
25/1/27#0,Size (W),Size (W)
25/1/28#0,Size (H),Size (H)
25/1/40#0,Nose tip tilt,Nose tip tilt
25/1/41#0,Nose bridge depth,Nose bridge depth
25/1/49#0,Size (W),Size (W)
25/1/50#0,Size (H),Size (H)
25/1/58#0,Side tilt,Side tilt
26/1/2#0,Change the object visibility,Change the object visibility
26/1/3#0,Lock/unlock the object,Lock/unlock the object
26/1/4#0,Change whether the object is selectable,Change whether the object is selectable
27/1/1#0,"This tool can only be used for the following: 
-Raster layers
-Selection layers
-Layer masks 
To convert to a raster layer, select [Layer] menu > [Rasterize].","This tool can only be used for the following: 
-Raster layers
-Selection layers
-Layer masks 
To convert to a raster layer, select [Layer] menu > [Rasterize]."
27/1/2#0,You cannot use this tool on the current layer.,You cannot use this tool on the current layer.
27/1/3#0,"Some layers were not processed.
This tool can only be used for the following: 
- Raster layers
- Selection layers
- Layer masks 
To change to a raster layer, select [Layer] menu > [Rasterize].","Some layers were not processed.
This tool can only be used for the following: 
- Raster layers
- Selection layers
- Layer masks 
To change to a raster layer, select [Layer] menu > [Rasterize]."
27/1/4#0,"You cannot draw on the selected 3D object.
Please switch to the Object tool and select only one 3D primitive or 3D drawing figure (Ver.2), or 3D object.","You cannot draw on the selected 3D object.
Please switch to the Object tool and select only one 3D primitive or 3D drawing figure (Ver.2), or 3D object."
27/1/5#0,"You cannot draw on the selected 3D primitive.
Please switch to the Object tool, and in the Advanced Tool Settings palette’s Texture Settings tab, set the position to 0 and the scale ratio to 100.","You cannot draw on the selected 3D primitive.
Please switch to the Object tool, and in the Advanced Tool Settings palette’s Texture Settings tab, set the position to 0 and the scale ratio to 100."
27/1/6#0,"You cannot draw on the selected 3D object.
Please switch to the Object tool, and in the Advanced Tool Settings palette’s Preferences tab, open the Rendering Settings and turn on “Use texture”.","You cannot draw on the selected 3D object.
Please switch to the Object tool, and in the Advanced Tool Settings palette’s Preferences tab, open the Rendering Settings and turn on “Use texture”."
27/1/7#0,"You cannot draw on the selected 3D object.
Please switch to the Object tool and check the layer visibility and layer lock settings.","You cannot draw on the selected 3D object.
Please switch to the Object tool and check the layer visibility and layer lock settings."
