source,target
Assign multiple cels,Назначить несколько фаз
Cancel,Отмена
Assign by value,Назначить по значению
Assign by cel name,Назначить по имени фазы
Assign cels,Назначить фазы
Start number,Начальный номер
End number,Конечный номер
Start cel,Начальная фаза
End cel,Конечная фаза
Number of frames,Число кадров
Repeat settings,Настройки повтора
Number of repeats,Число повторов
Repeat to end,Повторять до конца
Advanced settings,Дополнительные настройки
Add empty frames between cels,Добавлять пустые кадры между фазами
Skip cel numbers,Пропускать номера фаз
Number of cels,Число фаз
Animated GIF export settings,Настройки экспорта анимированного GIF
Animated sticker (APNG) export settings ,Настройки экспорта анимированного стикера (APNG) 
Animated WebP Export Settings,Настройки экспорта анимированного WebP
Width,Ширина
Height,Высота
Export range,Диапазон экспорта
to,до
Frame rate,Частота кадров
Loop count,Число циклов
Unlimited,Без ограничений
Number of loops,Число циклов
Time(s),Раз(а)
Export options,Параметры экспорта
Dithering,Дизеринг
Delete blank spaces,Удалять пустые места
Color reduction,Уменьшение числа цветов
Export transparency,Экспортировать прозрачность
Background color,Цвет фона
Compression method,Метод сжатия
Prioritize quality,Приоритет качества
Prioritize file size,Приоритет размера файла
Quality,Качество
Playback time: 0.00 s ( Image number: 1 ),Время воспроизведения: 0.00 с ( Номер изображения: 1 )
Playback time: %0.1f s ( Image number: %d ),Время воспроизведения: %0.1f с ( Номер изображения: %d )
Exporting animated GIF,Экспорт анимированного GIF
Exporting animated sticker (APNG),Экспорт анимированного стикера (APNG)
Exporting animated WebP,Экспорт анимированного WebP
Manage timeline,Управление шкалой времени
Manage shots,Управление кадрами
New timeline,Новая шкала времени
New script,Новый сценарий
Duplicate,Дублировать
Delete,Удалить
Change settings,Изменить настройки
Move up,Переместить вверх
Move down,Переместить вниз
Image sequence export settings,Настройки экспорта последовательности изображений
Preset,Набор настроек
Add to presets,Добавить в наборы настроек
Edit preset,Редактировать набор настроек
Export to,Экспортировать в
Browse,Обзор
File name settings,Настройки имени файла
File name,Имя файла
File prefix,Префикс файла
File suffix,Суффикс файла
Separator,Разделитель
Advanced Settings,Дополнительные настройки
Type,Тип
Settings,Настройки
Export draft,Экспортировать черновик
Export frames,Экспортировать кадры
Embed ICC profile,Встроить профиль ICC
Size Settings,Настройки размера
Drawing area,Область рисования
Output frame,Кадр вывода
Overflow frame,Кадр переполнения
Selection area,Область выделения
Entire canvas,Весь холст
Output image,Выходное изображение
Fix scaling,Зафиксировать масштаб
Apply 2D camera effects,Применить эффекты 2D-камеры
Frame export,Экспорт кадров
All frames,Все кадры
Frame area,Область кадра
To,До
Options,Параметры
