word,count
the,77
to,40
settings,35
frame,28
d,26
name,26
you,22
be,19
number,19
label,18
layer,18
change,17
export,17
of,17
cannot,16
file,15
object,14
selected,14
timeline,14
and,13
keyframe,13
not,13
width,13
a,12
folder,12
for,12
playback,11
please,11
preset,11
this,11
enter,10
frames,10
size,10
color,9
length,9
script,9
select,9
set,9
tool,9
cel,8
create,8
do,8
end,8
in,8
on,8
or,8
s,8
start,8
will,8
with,8
edit,7
hand,7
mixer,7
so,7
want,7
all,6
already,6
animated,6
as,6
cels,6
draw,6
finger,6
is,6
move,6
only,6
reset,6
same,6
track,6
add,5
animation,5
apply,5
continue,5
duplicate,5
exporting,5
face,5
image,5
interpolation,5
layers,5
operation,5
shots,5
switch,5
texture,5
use,5
ver,5
advanced,4
are,4
assign,4
bit,4
by,4
canvas,4
choose,4
current,4
default,4
delete,4
digital,4
earlier,4
existing,4
exposure,4
from,4
light,4
limit,4
look,4
models,4
new,4
output,4
overwritten,4
physical,4
prioritize,4
range,4
raster,4
rate,4
rendering,4
save,4
scenes,4
seconds,4
sheet,4
source,4
time,4
value,4
alpha,3
area,3
assigned,3
audio,3
automatically,3
camera,3
can,3
clip,3
does,3
down,3
due,3
edges,3
exist,3
exists,3
f,3
files,3
following,3
height,3
it,3
left,3
manage,3
method,3
nail,3
option,3
palm,3
previous,3
proceed,3
quality,3
registered,3
rename,3
right,3
selection,3
shadows,3
sharp,3
show,3
soft,3
that,3
up,3
webp,3
anime,2
apng,2
arm,2
background,2
basic,2
blink,2
cartoon,2
cast,2
characters,2
convert,2
could,2
depth,2
different,2
drawing,2
during,2
folders,2
follow,2
foot,2
format,2
fps,2
gif,2
go,2
h,2
head,2
here,2
hi,2
inbetween,2
information,2
leg,2
lock,2
locked,2
masks,2
may,2
menu,2
more,2
neck,2
next,2
nose,2
one,2
options,2
overwrite,2
palette,2
plane,2
presets,2
primitive,2
px,2
rasterize,2
ratio,2
realistic,2
repeat,2
scale,2
shot,2
skirt,2
smooth,2
some,2
specified,2
sticker,2
stories,2
sub,2
subtitle,2
tab,2
test,2
than,2
thickness,2
tilt,2
torso,2
transparency,2
type,2
used,2
values,2
visibility,2
w,2
zoom,2
about,1
accuracy,1
affected,1
amount,1
an,1
anyway,1
applied,1
aspect,1
average,1
backface,1
below,1
bend,1
bending,1
between,1
bicubic,1
bilinear,1
blank,1
bmp,1
bows,1
bridge,1
c,1
changed,1
changes,1
check,1
clear,1
clicking,1
clipping,1
code,1
colors,1
composition,1
compression,1
configure,1
confirm,1
connect,1
correct,1
correctly,1
count,1
culling,1
decimal,1
deletes,1
distort,1
distorted,1
division,1
document,1
dpx,1
draft,1
drag,1
dragging,1
drop,1
ds,1
editable,1
effects,1
embed,1
empty,1
entire,1
exceed,1
exceeds,1
exported,1
facial,1
far,1
feature,1
features,1
figure,1
find,1
fingers,1
fingertip,1
fix,1
ground,1
hard,1
has,1
have,1
hides,1
high,1
higher,1
hold,1
how,1
icc,1
if,1
images,1
import,1
included,1
index,1
items,1
jpeg,1
keyframes,1
like,1
line,1
linear,1
list,1
loaded,1
loop,1
loops,1
lost,1
make,1
map,1
match,1
middle,1
model,1
motions,1
moved,1
movie,1
movies,1
multiple,1
names,1
near,1
nearest,1
neighbor,1
now,1
numbers,1
offset,1
open,1
out,1
outline,1
overflow,1
pages,1
parameters,1
pcm,1
pinky,1
planes,1
png,1
polygons,1
position,1
preferences,1
prefix,1
processed,1
profile,1
prominence,1
quit,1
recommend,1
reduction,1
repeats,1
resetting,1
resize,1
restrictions,1
results,1
ring,1
sample,1
scaling,1
scene,1
second,1
selectable,1
sequence,1
shading,1
shadow,1
shape,1
shorter,1
shoulder,1
shown,1
side,1
simultaneous,1
skip,1
sliders,1
spaces,1
speed,1
spring,1
story,1
suffix,1
summer,1
sunlight,1
sync,1
system,1
taper,1
tbd,1
tga,1
there,1
these,1
threshold,1
thumbnail,1
tip,1
title,1
toei,1
toes,1
toon,1
total,1
transformable,1
transparent,1
turn,1
units,1
unlock,1
using,1
uv,1
vein,1
veins,1
waist,1
wait,1
we,1
were,1
when,1
whether,1
would,1
wrist,1
wristbone,1
