key,source,target
1/1/1#0,Open storage,Open storage
1/1/2#0,Select from storage,Select from storage
1/1/3#0,Add a directory,Add a directory
1/1/8#0,"""%s"" already exists. Do you want to replace it?","""%s"" already exists. Do you want to replace it?"
1/1/11#0,"From “Select Folder”, select the folder you want to display, then grant access.
If you do not want to grant access permissions, use “Open storage” and select the file.","From “Select Folder”, select the folder you want to display, then grant access.
If you do not want to grant access permissions, use “Open storage” and select the file."
1/1/12#0,Select folder,Select folder
1/1/13#0,Search from other directories,Search from other directories
1/1/14#0,Save to other directory,Save to other directory
1/1/15#0,Select All,Select All
1/1/16#0,Deselect all,Deselect all
1/1/17#0,Selected: %d,Selected: %d
1/1/19#0,Date modified,Date modified
1/1/23#0,Create new folder,Create new folder
1/1/26#0,"You cannot use folder names that begin with a period (.) or any of the following characters.
%s","You cannot use folder names that begin with a period (.) or any of the following characters.
%s"
1/1/27#0,"""%s"" already exists. Please enter a different folder name.","""%s"" already exists. Please enter a different folder name."
1/1/28#0,Could not add directory,Could not add directory
1/1/29#0,Cannot add folders beginning with a period (.) or inside a folder that begins with a period to the directory list. Please choose a different folder.,Cannot add folders beginning with a period (.) or inside a folder that begins with a period to the directory list. Please choose a different folder.
1/1/30#0,Could not be added as you already have the maximum number of directories.,Could not be added as you already have the maximum number of directories.
1/1/31#0,Could not open file,Could not open file
1/1/32#0,Cannot open files beginning with a period (.) or inside a folder that begins with a period. Please choose a different file.,Cannot open files beginning with a period (.) or inside a folder that begins with a period. Please choose a different file.
1/1/33#0,Could not select folder,Could not select folder
1/1/34#0,Cannot select folders beginning with a period (.) or inside a folder that begins with a period. Please select a different folder.,Cannot select folders beginning with a period (.) or inside a folder that begins with a period. Please select a different folder.
1/1/35#0,Could not save file,Could not save file
1/1/36#0,You cannot choose a folder beginning with a period (.) or inside a folder that begins with a period as a save location. Please choose a different folder.,You cannot choose a folder beginning with a period (.) or inside a folder that begins with a period as a save location. Please choose a different folder.
1/1/37#0,"You cannot use a file name starting with a period (.) or including any of the following characters.
%s","You cannot use a file name starting with a period (.) or including any of the following characters.
%s"
