word,count
a,23
folder,16
period,10
with,10
select,9
you,7
cannot,6
not,6
or,6
the,6
could,5
different,5
file,5
open,5
please,5
that,5
to,5
beginning,4
begins,4
choose,4
directory,4
inside,4
s,4
save,4
add,3
already,3
from,3
name,3
of,3
storage,3
use,3
want,3
access,2
all,2
any,2
as,2
characters,2
directories,2
do,2
exists,2
folders,2
following,2
grant,2
other,2
replace,2
added,1
and,1
back,1
be,1
begin,1
cancel,1
close,1
confirm,1
create,1
d,1
date,1
deselect,1
display,1
enter,1
files,1
format,1
have,1
if,1
including,1
it,1
list,1
location,1
maximum,1
modified,1
names,1
new,1
number,1
permissions,1
search,1
selected,1
size,1
starting,1
then,1
type,1
