key,source,target
3/1/1#0,Failed to verify the license.,Не удалось проверить лицензию.
3/1/2#0,"Failed to verify the license. 
The application will launch with some limited functions. You will not be able to save your work.",
4/1/1#0,$$$ Trial Period,$$$ Пробный период
4/1/2#0,$$$ Valid Period,$$$ Срок действия
4/1/3#0,$$$ Restricted functionality does not allow for data created in this format be saved.,"$$$ Ограниченная функциональность не позволяет сохранять данные, созданные в этом формате."
4/1/4#0,Purchase a license,Приобрести лицензию
4/1/5#0,"I already have a license /
I have signed up for a free offer",
4/1/6#0,Launch with limited features,Запустить с ограниченными функциями
4/1/7#0,Cancel,Отмена
4/1/8#0,"Your trial period has expired. 
Certain features such as saving will be locked.",
4/1/9#0,"The valid period for this license has expired. 
Certain features such as saving will be locked.",
4/1/10#0,https://us-lic.celsys.co.jp/productcontrol/periodexpired?key=%s,https://us-lic.celsys.co.jp/productcontrol/periodexpired?key=%s
5/1/1#0,license verification,проверка лицензии
5/1/2#0,trial registration,регистрация пробной версии
5/1/3#0,Go to the %s website and enter the above authentication key.,Перейдите на сайт %s и введите указанный выше ключ аутентификации.
5/1/4#0,"In the space below, enter the confirmation key shown on the %s website.","В поле ниже введите ключ подтверждения, показанный на сайте %s."
5/1/5#0,You can register your trial use from any web browser.,Зарегистрировать пробное использование можно из любого веб-браузера.
5/1/6#0,License authentication key,Ключ аутентификации лицензии
5/1/7#0,・ From mobile ,・ С мобильного устройства 
5/1/8#0,"If registering from a mobile phone, please scan the following 2D mobile response code.
The license authentication key will be automatically entered to the site.",
5/1/9#0,"If you cannot register the trial even after trying the above method, please contact Support for help registering your license.","Если зарегистрировать пробную версию не удаётся даже после описанного выше способа, обратитесь в службу поддержки за помощью в регистрации лицензии."
5/1/10#0,E-mail:,Эл. почта:
5/1/11#0,Website:,Веб-сайт:
5/1/12#0,Next,Далее
5/1/13#0,Back,Назад
5/1/14#0,・ From web browser ,・ Из веб-браузера 
5/1/15#0,You can verify your license from a web browser or smartphone.,Проверить лицензию можно из веб-браузера или со смартфона.
5/1/16#0,"1. Access the license registration site and enter the above authentication key. 
This will generate a confirmation key.
",
