word,count
the,144
to,79
you,77
license,74
your,62
for,52
a,50
be,44
this,42
not,36
use,35
and,34
trial,34
in,32
with,31
device,29
please,29
free,28
will,28
failed,27
number,26
plan,25
if,24
clip,23
studio,23
from,20
have,20
is,20
on,20
cannot,19
features,19
serial,19
verification,19
of,18
try,18
up,18
d,17
has,17
s,17
can,16
enter,15
launch,15
or,15
again,14
could,14
may,14
register,14
software,14
code,13
paint,13
sign,13
version,13
account,12
because,12
key,12
log,12
verify,12
already,11
application,11
check,11
expired,11
get,10
i,10
month,10
was,10
email,9
here,9
period,9
all,8
app,8
as,8
correctly,8
devices,8
limited,8
necessary,8
password,8
process,8
there,8
address,7
do,7
internet,7
limit,7
more,7
need,7
now,7
registered,7
an,6
been,6
cancelled,6
connection,6
deactivated,6
existing,6
files,6
first,6
found,6
information,6
install,6
installed,6
mode,6
months,6
support,6
tap,6
thank,6
used,6
using,6
want,6
authentication,5
change,5
confirmation,5
continue,5
create,5
current,5
entered,5
hours,5
it,5
mobile,5
no,5
save,5
successfully,5
switch,5
valid,5
verified,5
without,5
across,4
activate,4
activated,4
activation,4
active,4
administrator,4
ads,4
another,4
appear,4
browser,4
cancel,4
click,4
login,4
new,4
once,4
previous,4
registration,4
system,4
time,4
times,4
transfer,4
ver,4
wish,4
year,4
able,3
above,3
after,3
anytime,3
are,3
at,3
below,3
companion,3
contact,3
days,3
deactivate,3
details,3
dialog,3
digits,3
doodle,3
draw,3
export,3
how,3
latest,3
like,3
logged,3
monthly,3
off,3
offer,3
os,3
our,3
registering,3
signed,3
site,3
so,3
started,3
subscription,3
suitable,3
t,3
usage,3
web,3
would,3
about,2
action,2
always,2
annual,2
being,2
busy,2
carried,2
certain,2
charged,2
connected,2
deactivations,2
digit,2
don,2
early,2
ends,2
error,2
even,2
file,2
following,2
forgot,2
functions,2
go,2
help,2
import,2
incorrect,2
installer,2
keep,2
locked,2
logging,2
macos,2
maximum,2
next,2
obtained,2
official,2
one,2
open,2
order,2
out,2
pass,2
perform,2
permission,2
permissions,2
phone,2
preview,2
problem,2
product,2
project,2
purchase,2
rc,2
reached,2
response,2
saving,2
scan,2
select,2
server,2
some,2
space,2
step,2
such,2
term,2
than,2
that,2
those,2
unavailable,2
uninstall,2
unlock,2
update,2
virtual,2
website,2
windows,2
work,2
access,1
allow,1
any,1
apple,1
apply,1
appropriate,1
automatically,1
available,1
back,1
begin,1
billing,1
changing,1
charges,1
chinese,1
choose,1
choosing,1
compare,1
connect,1
connectivity,1
continuously,1
correct,1
created,1
currently,1
data,1
day,1
detailed,1
different,1
displayed,1
does,1
download,1
downloading,1
during,1
earlier,1
ended,1
expire,1
fail,1
find,1
form,1
format,1
functionality,1
future,1
generate,1
google,1
grade,1
included,1
incurred,1
instead,1
into,1
ipad,1
later,1
launched,1
launches,1
launching,1
learn,1
licenses,1
long,1
lost,1
made,1
mark,1
match,1
message,1
method,1
minutes,1
module,1
multiple,1
my,1
network,1
note,1
often,1
option,1
pcs,1
perpetual,1
previously,1
receiving,1
reissuing,1
restricted,1
saved,1
screen,1
second,1
see,1
send,1
sent,1
shown,1
simplified,1
skip,1
smartphone,1
smartphones,1
start,1
subscribers,1
sure,1
tablets,1
team,1
trusted,1
trying,1
unlocked,1
upon,1
us,1
users,1
versions,1
wait,1
weak,1
well,1
what,1
when,1
within,1
