key,source,target
2/1/3#0,"If you activate your license on this device, your license will be deactivated from the previous device. 
 There is a limit to the number of times you can transfer licenses across devices.","If you activate your license on this device, your license will be deactivated from the previous device. 
 There is a limit to the number of times you can transfer licenses across devices."
2/1/4#0,You can use Companion Mode for free.,You can use Companion Mode for free.
2/1/5#0,How to use Companion Mode,How to use Companion Mode
2/1/6#0,"If you wish to use Clip Studio Paint on multiple devices regularly, please apply for a plan with the appropriate number of devices.","If you wish to use Clip Studio Paint on multiple devices regularly, please apply for a plan with the appropriate number of devices."
2/1/7#0,"Your license will be deactivated from the previous device. If you wish to use your license on more than one device at once, please check for a suitable option. 
There is a limit to how often you can transfer your license across devices in one day.","Your license will be deactivated from the previous device. If you wish to use your license on more than one device at once, please check for a suitable option. 
There is a limit to how often you can transfer your license across devices in one day."
2/1/8#0,"Your license will be deactivated from the previous device. If you wish to use your license on more devices at once, please check for a suitable plan. 
There is a limit to the number of times you can transfer your plan across devices.","Your license will be deactivated from the previous device. If you wish to use your license on more devices at once, please check for a suitable plan. 
There is a limit to the number of times you can transfer your plan across devices."
2/1/9#0,How to change your plan,How to change your plan
2/1/10#0,Would you like to switch your active device now?,Would you like to switch your active device now?
2/1/11#0,Are you sure you want to activate on this device?,Are you sure you want to activate on this device?
2/1/14#0,Switch device and launch,Switch device and launch
7/1/1#0,Clip Studio Paint is ready to use.,Clip Studio Paint is ready to use.
7/1/2#0,You can use all the features free of charge for 30 days.,You can use all the features free of charge for 30 days.
7/1/3#0,Get Started,Get Started
8/1/4#0,An error has occurred.,An error has occurred.
9/1/1#0,Your plan is not connected to an account,Your plan is not connected to an account
9/1/2#0,Your purchased plan is not connected to a Clip Studio account.,Your purchased plan is not connected to a Clip Studio account.
9/1/3#0,"You can connect your plan to a Clip Studio account. If you log in, you will be able to access this plan on other devices. 
You can also continue to use your plan without logging into an account. ","You can connect your plan to a Clip Studio account. If you log in, you will be able to access this plan on other devices. 
You can also continue to use your plan without logging into an account. "
9/1/4#0,Log in,Log in
