source,target
"If you activate your license on this device, your license will be deactivated from the previous device. 
 There is a limit to the number of times you can transfer licenses across devices.","Если вы активируете лицензию на этом устройстве, она будет деактивирована на предыдущем устройстве. 
 Число переносов лицензии между устройствами ограничено."
You can use Companion Mode for free.,Вы можете использовать режим компаньона бесплатно.
How to use Companion Mode,Как использовать режим компаньона
"If you wish to use Clip Studio Paint on multiple devices regularly, please apply for a plan with the appropriate number of devices.","Если вы хотите регулярно использовать Clip Studio Paint на нескольких устройствах, оформите план с подходящим количеством устройств."
"Your license will be deactivated from the previous device. If you wish to use your license on more than one device at once, please check for a suitable option. 
There is a limit to how often you can transfer your license across devices in one day.","Лицензия будет деактивирована на предыдущем устройстве. Если вы хотите использовать лицензию более чем на одном устройстве одновременно, выберите подходящий вариант. 
Число переносов лицензии между устройствами в течение одного дня ограничено."
"Your license will be deactivated from the previous device. If you wish to use your license on more devices at once, please check for a suitable plan. 
There is a limit to the number of times you can transfer your plan across devices.","Лицензия будет деактивирована на предыдущем устройстве. Если вы хотите использовать лицензию на большем числе устройств одновременно, выберите подходящий план. 
Число переносов плана между устройствами ограничено."
How to change your plan,Как изменить план
Would you like to switch your active device now?,Переключить активное устройство сейчас?
Are you sure you want to activate on this device?,Вы действительно хотите активировать на этом устройстве?
Yes,Да
No,Нет
Switch device and launch,Переключить устройство и запустить
Back,Назад
https://us-lic.celsys.co.jp/gd/index.php?id=serial-err-en,https://us-lic.celsys.co.jp/gd/index.php?id=serial-err-en
Clip Studio Paint is ready to use.,Clip Studio Paint готов к работе.
You can use all the features free of charge for 30 days.,Вы можете бесплатно использовать все функции в течение 30 дней.
Get Started,Начать
Loading...,Загрузка...
Connecting...,Соединение...
An error has occurred.,Произошла ошибка.
Your plan is not connected to an account,Ваш план не привязан к учётной записи
Your purchased plan is not connected to a Clip Studio account.,Приобретённый план не привязан к учётной записи Clip Studio.
"You can connect your plan to a Clip Studio account. If you log in, you will be able to access this plan on other devices. 
You can also continue to use your plan without logging into an account. ","Вы можете привязать план к учётной записи Clip Studio. Если вы войдёте в систему, сможете использовать этот план на других устройствах. 
Вы также можете продолжить использовать план без входа в учётную запись."
Log in,Войти
Skip login,Пропустить вход
An internet connection is required.,Требуется подключение к интернету.
"You need an internet connection to use the free trial.
The app will be launched in doodle mode.","Для использования бесплатной пробной версии требуется подключение к интернету.
Приложение будет запущено в режиме набросков."
Your free 30 hours have ended.,Ваши бесплатные 30 часов закончились.
The app will launch with limited features.,Приложение запустится с ограниченными функциями.
A server error has occurred.,Произошла ошибка сервера.
"Please wait and try again to use the app for free.
The app will launch with limited features.","Подождите и повторите попытку, чтобы использовать приложение бесплатно.
Приложение запустится с ограниченными функциями."
Launch,Запустить
"Your license was deactivated successfully.
You can now try all features of the software.","Лицензия успешно деактивирована.
Теперь вы можете попробовать все функции программы."
"Your license was deactivated successfully.
You can now use all features of the software.","Лицензия успешно деактивирована.
Теперь вы можете использовать все функции программы."
"This license has reached the maximum number of deactivations, so it cannot be activated on this device.","Эта лицензия достигла максимального числа деактиваций, поэтому её нельзя активировать на этом устройстве."
Failed to deactivate the license.,Не удалось деактивировать лицензию.
Used on the maximum number of devices,Используется на максимальном числе устройств
This license is already being used on another device. Please choose one of the following ways to launch the app.,Эта лицензия уже используется на другом устройстве. Выберите один из следующих способов запуска приложения.
Switch device,Переключить устройство
Your license will be deactivated from the previous device. There is a limit to the number of times you can transfer licenses across devices.,Лицензия будет деактивирована на предыдущем устройстве. Число переносов лицензии между устройствами ограничено.
View plans,Просмотреть планы
"If you wish to use the app on more devices at once, please check for a suitable plan.","Если вы хотите использовать приложение на большем числе устройств одновременно, выберите подходящий план."
Use existing plan/free trial,Использовать существующий план или пробную версию
Draw and create with Clip Studio Paint,Рисуйте и творите с Clip Studio Paint
Purchase a plan to use all features!,"Приобретите план, чтобы использовать все функции!"
Purchase a plan for unlimited features!,Приобретите план для неограниченного доступа к функциям!
From %s/month /,От %s/месяц /
From %s/year  ,От %s/год  
Perpetual license from %s,Бессрочная лицензия от %s
