word,count
the,43
to,43
you,34
your,34
license,29
device,23
this,23
use,23
plan,20
a,19
for,19
on,17
number,15
free,14
from,14
in,14
is,14
can,13
please,13
s,13
back,12
of,12
will,12
with,12
be,11
features,11
launch,11
clip,10
devices,10
mode,10
studio,10
and,9
cannot,9
app,8
switch,8
verification,8
an,7
code,7
current,7
has,7
serial,7
try,7
account,6
at,6
check,6
deactivated,6
doodle,6
enter,6
failed,6
if,6
no,6
or,6
version,6
all,5
change,5
continue,5
limited,5
log,5
month,5
need,5
paint,5
time,5
trial,5
across,4
active,4
again,4
another,4
connection,4
get,4
how,4
internet,4
it,4
limit,4
more,4
not,4
plans,4
previous,4
purchase,4
settings,4
there,4
transfer,4
used,4
ver,4
wish,4
activated,3
address,3
already,3
any,3
are,3
being,3
create,3
details,3
download,3
email,3
have,3
hours,3
install,3
launched,3
login,3
maximum,3
now,3
once,3
one,3
password,3
privacy,3
required,3
skip,3
suitable,3
times,3
view,3
access,2
activate,2
activation,2
appropriate,2
been,2
close,2
companion,2
compatible,2
connected,2
days,2
deactivations,2
digits,2
downloading,2
draw,2
error,2
expired,2
export,2
first,2
gd,2
here,2
https,2
id,2
installer,2
into,2
licenses,2
like,2
loading,2
macos,2
menu,2
occurred,2
order,2
perpetual,2
project,2
reached,2
save,2
so,2
software,2
some,2
started,2
subscribers,2
successfully,2
tap,2
up,2
update,2
us,2
was,2
windows,2
without,2
would,2
year,2
able,1
ads,1
after,1
also,1
apple,1
application,1
apply,1
available,1
cancellation,1
celsys,1
characters,1
charge,1
choose,1
clipstudio,1
co,1
connect,1
connecting,1
connectivity,1
contact,1
correct,1
correctly,1
day,1
deactivate,1
digit,1
en,1
ended,1
ends,1
entered,1
enus,1
err,1
existing,1
expire,1
feature,1
file,1
following,1
forgot,1
found,1
full,1
google,1
having,1
i,1
improvement,1
index,1
information,1
jp,1
launching,1
lic,1
list,1
logging,1
may,1
minutes,1
months,1
multiple,1
necessary,1
net,1
new,1
off,1
offline,1
often,1
option,1
other,1
pass,1
payment,1
pcs,1
per,1
php,1
purchased,1
ready,1
registered,1
regularly,1
reissuing,1
resend,1
see,1
sent,1
server,1
smartphones,1
start,1
step,1
support,1
sure,1
tablets,1
than,1
trials,1
trouble,1
understand,1
unlimited,1
using,1
verify,1
wait,1
want,1
ways,1
www,1
yes,1
