key,source,target
1/1/40#0,Finalizing. Please wait for a while.,Finalizing. Please wait for a while.
1/1/41#0,Compress video,Compress video
1/1/42#0,Compression program,Compression program
1/1/44#0,Compression quality,Compression quality
1/1/46#0,For each frame,For each frame
1/1/47#0,Data speed,Data speed
1/1/50#0,Version information,Version information
1/1/51#0,%.3fkHz %s,%.3fkHz %s
1/1/54#0,Movie export settings,Movie export settings
1/1/55#0,Save to,Save to
1/1/57#0,Not set.,Not set.
1/1/58#0,Video settings,Video settings
1/1/13#0,Audio settings,Audio settings
1/1/35#0,Enable transparency,Enable transparency
1/1/60#0,Show shadow,Show shadow
1/1/31#0,Frame rate,Frame rate
1/1/61#0,Set a save location.,Set a save location.
1/1/62#0,Configure video settings.,Configure video settings.
1/1/63#0,Configure audio settings.,Configure audio settings.
1/1/64#0,AVI (*.avi)|*.avi;,AVI (*.avi)|*.avi;
1/1/65#0,AVI (*.avi)|*.avi,AVI (*.avi)|*.avi
1/1/66#0,QuickTime Movie(*.mov)|*.mov,QuickTime Movie(*.mov)|*.mov
1/1/67#0,MP4 (*.mp4)|*.mp4,MP4 (*.mp4)|*.mp4
1/1/8#0,Export as AVI1.0,Export as AVI1.0
1/1/10#0,Export as AVI2.0,Export as AVI2.0
1/1/68#0,AVI1.0 export settings,AVI1.0 export settings
1/1/69#0,AVI2.0 export settings,AVI2.0 export settings
1/1/70#0,Quality settings,Quality settings
1/1/72#0,PCM ,PCM 
1/1/73#0,"You can export videos smaller than 2GB.

Most programs and devices support this video format and it is safer than exporting in AVI2.0.

It may not be possible to make the background color transparent depending on the video settings.

","You can export videos smaller than 2GB.

Most programs and devices support this video format and it is safer than exporting in AVI2.0.

It may not be possible to make the background color transparent depending on the video settings.

"
1/1/74#0,"You can export videos bigger than 2GB.

However, there are programs and devices which don’t support this format and it might not be able to play it correctly.

Moreover, Clip Studio software won’t be able to read the format if the video is bigger than 2GB.

It may not be possible to make the background color transparent depending on the video settings.

","You can export videos bigger than 2GB.

However, there are programs and devices which don’t support this format and it might not be able to play it correctly.

Moreover, Clip Studio software won’t be able to read the format if the video is bigger than 2GB.

It may not be possible to make the background color transparent depending on the video settings.

"
1/1/75#0,This format supports exporting in sizes with a width of up to 7680 and a height of up to 4320.,This format supports exporting in sizes with a width of up to 7680 and a height of up to 4320.
1/1/76#0,This format supports exporting in sizes with a width of up to 3840 and a height of up to 2160.,This format supports exporting in sizes with a width of up to 3840 and a height of up to 2160.
1/1/77#0,This format supports exporting in sizes with a width of up to 1920 and a height of up to 1080.,This format supports exporting in sizes with a width of up to 1920 and a height of up to 1080.
1/1/78#0,"In this format, you can export between %d–%d px wide and %d–%d px high.","In this format, you can export between %d–%d px wide and %d–%d px high."
1/1/79#0,"In this format, you can export up to %d px wide and %d px high.","In this format, you can export up to %d px wide and %d px high."
1/1/80#0,"This video may not be exported properly as the export width or height is greater than 2048.
Do you want to proceed?","This video may not be exported properly as the export width or height is greater than 2048.
Do you want to proceed?"
1/1/81#0,"This video may not be reproduced properly as the export width or height is greater than 2048.
Do you want to proceed?","This video may not be reproduced properly as the export width or height is greater than 2048.
Do you want to proceed?"
1/1/17#0,Scaling settings,Scaling settings
1/1/82#0,Fix scaling,Fix scaling
1/1/25#0,Apply 2D camera effects,Apply 2D camera effects
1/1/88#0, 96 kbps (low sound quality), 96 kbps (low sound quality)
1/1/89#0,128 kbps (standard sound quality),128 kbps (standard sound quality)
1/1/90#0,160 kbps (high sound quality),160 kbps (high sound quality)
1/1/91#0,192 kbps (highest sound quality),192 kbps (highest sound quality)
1/1/92#0,Failed to export movie.,Failed to export movie.
1/1/93#0,"Failed to export movie.
There may not be sufficient memory. Please try the following and export again.

- Close other canvases and applications
- Make the movie canvas height/width smaller, or reduce the frame rate 
- Divide the timeline and export it as separate parts

","Failed to export movie.
There may not be sufficient memory. Please try the following and export again.

- Close other canvases and applications
- Make the movie canvas height/width smaller, or reduce the frame rate 
- Divide the timeline and export it as separate parts

"
1/1/94#0,"Failed to export movie.
You cannot export a movie to this device with the current settings.

Please try again after making the movie canvas height/width smaller, or reducing the frame rate.","Failed to export movie.
You cannot export a movie to this device with the current settings.

Please try again after making the movie canvas height/width smaller, or reducing the frame rate."
2/1/1#0,AVI files larger than 2GB cannot be imported. The file size needs to be reduced.,AVI files larger than 2GB cannot be imported. The file size needs to be reduced.
2/1/2#0,All supported formats,All supported formats
2/1/3#0,AVI (*.avi)|*.avi,AVI (*.avi)|*.avi
2/1/4#0,MP4 (*.mp4)|*.mp4,MP4 (*.mp4)|*.mp4
2/1/5#0,QuickTime Movie(*.mov)|*.mov,QuickTime Movie(*.mov)|*.mov
