word,count
to,19
export,17
the,16
avi,15
settings,14
and,12
this,10
a,9
be,9
movie,9
video,9
format,8
height,8
width,8
d,7
not,7
than,7
up,7
you,7
in,6
it,6
mp,6
of,6
quality,6
as,5
may,5
can,4
exporting,4
frame,4
gb,4
is,4
kbps,4
mov,4
or,4
px,4
sound,4
with,4
failed,3
high,3
make,3
please,3
rate,3
sizes,3
smaller,3
supports,3
able,2
again,2
audio,2
background,2
bigger,2
cannot,2
canvas,2
color,2
compression,2
configure,2
depending,2
devices,2
do,2
for,2
greater,2
on,2
possible,2
proceed,2
programs,2
properly,2
quicktime,2
save,2
scaling,2
set,2
support,2
t,2
there,2
transparent,2
try,2
videos,2
want,2
wide,2
after,1
all,1
applications,1
apply,1
are,1
attributes,1
between,1
browse,1
camera,1
cancel,1
canvases,1
clip,1
close,1
compress,1
configuration,1
correctly,1
current,1
data,1
device,1
divide,1
don,1
each,1
effects,1
enable,1
exported,1
file,1
files,1
finalizing,1
fix,1
fkhz,1
following,1
formats,1
highest,1
however,1
if,1
imported,1
information,1
kb,1
keyframe,1
larger,1
location,1
low,1
making,1
memory,1
might,1
mono,1
moreover,1
most,1
needs,1
options,1
other,1
parts,1
pcm,1
play,1
program,1
read,1
reduce,1
reduced,1
reducing,1
reproduced,1
s,1
safer,1
sec,1
separate,1
shadow,1
show,1
size,1
software,1
speed,1
standard,1
stereo,1
studio,1
sufficient,1
supported,1
timeline,1
transparency,1
uncompressed,1
version,1
wait,1
which,1
while,1
won,1
