source,target
Export settings for Kindle format,Настройки экспорта в формат Kindle
Output size,Размер вывода
Quality,Качество
Do not make tone gray,Не делать тон серым
Cancel,Отмена
%4d x %4d,%4d x %4d
%s (recommended size),%s (рекомендуемый размер)
%s (%s),%s (%s)
Width,Ширина
Height,Высота
Custom,Пользовательский
"(large size, high quality)","(большой размер, высокое качество)"
(recommended),(рекомендуется)
"(small size, low quality)","(малый размер, низкое качество)"
"This operation cannot be executed because the Kindle preview tool is not installed.
Do you want to go to the installation guide?",
https://celiceappprod.s3-ap-northeast-1.amazonaws.com/en-us/gd.html?app=paint&page=kdp-top,https://celiceappprod.s3-ap-northeast-1.amazonaws.com/en-us/gd.html?app=paint&page=kdp-top
Converting,Преобразование
"The Kindle preview tool is required for the preview of exported data.
Press the [About the Kindle preview tool] button for more information.",
About the Kindle preview tool,О средстве предпросмотра Kindle
Install path settings for Kindle preview tool,Настройки пути установки средства предпросмотра Kindle
Browse,Обзор
Reset,Сбросить
Set Kindle preview tool,Задать средство предпросмотра Kindle
Set path for Kindle preview tool,Задать путь к средству предпросмотра Kindle
Application|*.exe,Приложение|*.exe
Application|*.app,Приложение|*.app
