word,count
of,21
direction,12
position,12
left,11
right,11
light,7
mask,5
ambient,4
foot,4
hand,4
chest,3
color,3
components,3
intensity,3
rotate,3
rotation,3
scale,3
status,3
stomach,3
arm,2
audio,2
bottom,2
center,2
diffused,2
elbow,2
enable,2
fingers,2
highlight,2
knee,2
leg,2
parts,2
ratio,2
top,2
transform,2
view,2
volume,2
whole,2
allocate,1
angle,1
bones,1
camera,1
cel,1
directional,1
expression,1
eyeline,1
eyes,1
face,1
facial,1
focal,1
folder,1
head,1
label,1
layout,1
material,1
mouth,1
movable,1
neck,1
opacity,1
other,1
perspective,1
point,1
pose,1
roll,1
select,1
shape,1
track,1
value,1
