key,source,target
1/1/20#0,User,Пользователь
1/1/5#0,Cloud Menu,Меню облака
1/1/21#0,Notifications,Уведомления
1/1/22#0,Direct messages,Личные сообщения
1/1/9#0,My Page on CLIP,Моя страница на CLIP
1/1/11#0,Account,Учётная запись
1/1/13#0,Edit profile,Редактировать профиль
1/1/15#0,Manage Monthly Plans,Управление ежемесячными планами
1/1/17#0,Logout,Выйти
1/1/19#0,Close,Закрыть
2/1/23#0,Cloud Settings,Настройки облака
2/1/2#0,Automatic synchronization settings,Настройки автоматической синхронизации
2/1/3#0,Download (initial) installable materials from CLIP Cloud,Загрузить (первоначальные) устанавливаемые материалы из CLIP Cloud
2/1/8#0,App settings backup,Резервная копия настроек приложения
2/1/11#0,Synchronizing created materials,Синхронизация созданных материалов
2/1/14#0,Synchronizing works,Синхронизация произведений
2/1/17#0,Other settings,Прочие настройки
2/1/19#0,Delete matching data in the Cloud,Удалить соответствующие данные в облаке
2/1/5#0,Use,Использовать
2/1/7#0,Do not use,Не использовать
2/1/21#0,Cancel,Отмена
4/1/9#0,Error,Ошибка
4/1/8#0,Resolve this issue,Устранить эту проблему
4/1/4#0,Copy to clipboard,Копировать в буфер обмена
4/1/10#0,Copied to clipboard.,Скопировано в буфер обмена.
5/1/8#0,Cancel,Отмена
6/1/17#0,Cloud,Облако
6/1/18#0,Notifications,Уведомления
6/1/19#0,Notifications (%d+%d),Уведомления (%d+%d)
6/1/20#0,Log in,Войти
6/1/21#0,Data Transfers ,Передача данных 
6/1/22#0,Settings,Настройки
6/1/23#0,Help,Справка
6/1/24#0,Important Notifications,Важные уведомления
6/1/25#0,Manage works,Управление произведениями
6/1/26#0,Manage materials,Управление материалами
6/1/27#0,Service Menu,Меню службы
6/1/28#0,Companion mode,Режим компаньона
6/1/3#0,My Page on CLIP,Моя страница на CLIP
6/1/5#0,Account,Учётная запись
6/1/11#0,Log Out,Выйти
6/1/7#0,Edit profile,Редактировать профиль
6/1/9#0,Manage Monthly Plans,Управление ежемесячными планами
6/1/29#0,CELSYS News,Новости CELSYS
6/1/30#0,Notifications For You,Уведомления для вас
6/1/14#0,Notification,Уведомление
6/1/16#0,Direct message,Личное сообщение
6/1/31#0,Manage,Управление
6/1/32#0,Service,Сервис
6/1/33#0,Export/Publish,Экспорт/Публикация
6/1/34#0,ASSETS,МАТЕРИАЛЫ
6/1/35#0,Licensed Materials,Лицензированные материалы
6/1/36#0,Plug-in Store,Магазин подключаемых модулей
6/1/37#0,ASK,Вопросы и ответы
6/1/38#0,TIPS,TIPS
6/1/39#0,Search CLIP STUDIO,Поиск в CLIP STUDIO
6/1/40#0,"Are you sure you want to organize these materials database? 
*Note: Do not start other applications in the CLIP STUDIO series while this operation is in progress.","Вы действительно хотите упорядочить эту базу данных материалов? 
*Примечание: не запускайте другие приложения серии CLIP STUDIO во время выполнения этой операции."
6/1/41#0,"Organization of materials database failed. 
Please try again.","Не удалось упорядочить базу данных материалов. 
Повторите попытку."
6/1/42#0,Organizing materials database...,Упорядочивание базы данных материалов...
6/1/43#0,Organization of materials database was completed.,Упорядочивание базы данных материалов завершено.
6/1/44#0,"Organization of materials database was completed, but registration of some materials may have failed due to causes such as corruption of the files.","Упорядочивание базы данных материалов завершено, но регистрация некоторых материалов могла не выполниться из-за таких причин, как повреждение файлов."
6/1/45#0,"Are you sure you want to organize the material folders? 
Important: Do not start other Clip Studio applications while this operation is in progress.","Вы действительно хотите упорядочить папки материалов? 
Важно: не запускайте другие приложения Clip Studio во время выполнения этой операции."
6/1/46#0,"Your materials will be reorganized.
Please note:
・Folder orders will be reset.
・Empty folders without any materials will be deleted.
・You may not start other applications in the Clip Studio series while this operation is in progress.

Do you want to continue?","Ваши материалы будут переупорядочены.
Обратите внимание:
・Порядок папок будет сброшен.
・Пустые папки без материалов будут удалены.
・Вы не можете запускать другие приложения серии Clip Studio во время выполнения этой операции.

Хотите продолжить?"
6/1/47#0,"Failed to organize material folders. 
Please try again.","Не удалось упорядочить папки материалов. 
Повторите попытку."
6/1/48#0,Organizing material folders...,Упорядочивание папок материалов...
6/1/49#0,Finished organizing material folders.,Упорядочивание папок материалов завершено.
6/1/50#0,"Are you sure you want to organize the works? 
*Note: Do not start other applications in the CLIP STUDIO series while this operation is in progress.","Вы действительно хотите упорядочить произведения? 
*Примечание: не запускайте другие приложения серии CLIP STUDIO во время выполнения этой операции."
6/1/51#0,"Organization of works database failed. 
Please try again.","Не удалось упорядочить базу данных произведений. 
Повторите попытку."
6/1/52#0,Organizing work database...,Упорядочивание базы данных произведений...
6/1/53#0,Organization of works database was completed.,Упорядочивание базы данных произведений завершено.
6/1/54#0,"The works database has been reconstructed, but some materials may not have been registered due to corruption of the files.","База данных произведений перестроена, но некоторые материалы могли не зарегистрироваться из-за повреждения файлов."
6/1/55#0,"Are you sure you want to organize the work labels? 
*Note: Do not start other applications in the CLIP STUDIO series while this operation is in progress.","Вы действительно хотите упорядочить метки произведений? 
*Примечание: не запускайте другие приложения серии CLIP STUDIO во время выполнения этой операции."
6/1/56#0,"Organization of work labels failed. 
Please try again.","Не удалось упорядочить метки произведений. 
Повторите попытку."
6/1/57#0,Organizing work labels...,Упорядочивание меток произведений...
6/1/58#0,Organization of work labels was completed.,Упорядочивание меток произведений завершено.
6/1/59#0,Confirmation dialogs have been reset.,Диалоги подтверждения сброшены.
6/1/60#0,"The selected work has not been completely downloaded.
 Download from the cloud?","Выбранное произведение загружено не полностью.
 Загрузить из облака?"
6/1/61#0,"The file name is too long to specify as a target for syncing. 
Enter a file name up to 100 characters.","Имя файла слишком длинное, чтобы указать его как объект синхронизации. 
Введите имя файла длиной до 100 символов."
6/1/62#0,"This work data cannot be synced as it is invalid. 
Please contact our support service for help.","Эти данные произведения недействительны, поэтому их нельзя синхронизировать. 
За помощью обратитесь в нашу службу поддержки."
6/1/63#0,Cloud syncing cannot be turned off while the Teamwork setting is on.,"Синхронизацию с облаком нельзя отключить, пока включена настройка совместной работы."
6/1/64#0,"The file name is different from the previous data. 
Do you want to reconfigure the data with this file?","Имя файла отличается от предыдущих данных. 
Хотите перенастроить данные с помощью этого файла?"
6/1/65#0,The specified file cannot be specified as it is already registered as a work.,"Указанный файл нельзя указать, так как он уже зарегистрирован как произведение."
6/1/66#0,"There is no cloud data for this item. 
It may have been deleted on another device. 


Do you want to run a recovery process to keep this data? ","Облачных данных для этого элемента нет. 
Возможно, они были удалены на другом устройстве. 


Хотите запустить процесс восстановления, чтобы сохранить эти данные? "
6/1/67#0,"This cloud data does not exist.
It may have been deleted on another device. 
Open the data and carry out the recovery process.","Этих облачных данных не существует.
Возможно, они были удалены на другом устройстве. 
Откройте данные и выполните процесс восстановления."
6/1/68#0,"This file could not be synced. 
The file has already been updated from a different device.
In order to resume syncing, the file “%s” will be overwritten with the cloud data. 

Do you want to save a backup of the edits made on this device before overwriting the file?","Не удалось синхронизировать этот файл. 
Файл уже был обновлён с другого устройства.
Чтобы возобновить синхронизацию, файл “%s” будет перезаписан облачными данными. 

Хотите сохранить резервную копию правок, сделанных на этом устройстве, перед перезаписью файла?"
6/1/69#0,"The data edited on this device was saved separately as “%s (backup)”.
 “%s” has been added to the Data Transfers list to update the file with the cloud data.

To update the original file with edits made on this device, please copy them manually from the “%s (backup)” file.

Do you want to open the backup file?","Данные, отредактированные на этом устройстве, были сохранены отдельно как “%s (резервная копия)”.
 “%s” добавлен в список передачи данных для обновления файла облачными данными.

Чтобы обновить исходный файл правками, сделанными на этом устройстве, скопируйте их вручную из файла “%s (резервная копия)”.

Хотите открыть файл резервной копии?"
