source,target
Item settings,Настройки элемента
Cancel,Отмена
Item name,Имя элемента
Please enter name.,Введите имя.
"""%s"" cannot be used as an item name.",«%s» нельзя использовать как имя элемента.
"The item name already exists.
 If duplicate items exist, it may no longer be possible to use the intended item when specified during script edits.","Имя элемента уже существует.
 Если существуют дубликаты элементов, при указании во время редактирования сценария может стать невозможным использовать нужный элемент."
Play,Воспроизвести
Stop,Стоп
Trial,Прослушивание
Volume (%),Громкость (%)
This audio file is unsupported or unavailable.,Этот аудиофайл не поддерживается или недоступен.
All supported formats|*.cs3c;*.cs3o;*.cs3s;*.fbx;*.6kt;*.6kh;*.lwo;*.lws;*.obj;*.gltf;*.glb;*.vrm;*.stl;*.clip;*.bmp;*.jpg;*.jpeg;*.png;*.tif;*.tiff;*.tga;*.webp;*.psd;*.psb;*.wav;*.mp3;*.ogg;*.avi|3D data (*.cs3c;*.cs3o;*.cs3s;*.fbx;*.6kt;*.6kh;*.lwo;*.lws;*.obj;*.gltf;*.glb;*.vrm;*.stl)|*.cs3c;*.cs3o;*.cs3s;*.fbx;*.6kt;*.6kh;*.lwo;*.lws;*.obj;*.gltf;*.glb;*.vrm;*.stl|Image (*.clip;*.bmp;*.jpg;*.jpeg;*.png;*.tif;*.tiff;*.tga;*.webp;*.psd;*.psb)|;*.clip;*.bmp;*.jpg;*.jpeg;*.png;*.tif;*.tiff;*.tga;*.webp;*.psd;*.psb|Audio (*.wav;*.mp3;*.ogg)|*.wav;*.mp3;*.ogg|Video (*.avi)|*.avi,Все поддерживаемые форматы|*.cs3c;*.cs3o;*.cs3s;*.fbx;*.6kt;*.6kh;*.lwo;*.lws;*.obj;*.gltf;*.glb;*.vrm;*.stl;*.clip;*.bmp;*.jpg;*.jpeg;*.png;*.tif;*.tiff;*.tga;*.webp;*.psd;*.psb;*.wav;*.mp3;*.ogg;*.avi|3D-данные (*.cs3c;*.cs3o;*.cs3s;*.fbx;*.6kt;*.6kh;*.lwo;*.lws;*.obj;*.gltf;*.glb;*.vrm;*.stl)|*.cs3c;*.cs3o;*.cs3s;*.fbx;*.6kt;*.6kh;*.lwo;*.lws;*.obj;*.gltf;*.glb;*.vrm;*.stl|Изображение (*.clip;*.bmp;*.jpg;*.jpeg;*.png;*.tif;*.tiff;*.tga;*.webp;*.psd;*.psb)|;*.clip;*.bmp;*.jpg;*.jpeg;*.png;*.tif;*.tiff;*.tga;*.webp;*.psd;*.psb|Аудио (*.wav;*.mp3;*.ogg)|*.wav;*.mp3;*.ogg|Видео (*.avi)|*.avi
All supported formats|*.cs3c;*.cs3o;*.cs3s;*.fbx;*.6kt;*.6kh;*.lwo;*.lws;*.obj;*.gltf;*.glb;*.vrm;*.stl;*.clip;*.bmp;*.jpg;*.jpeg;*.png;*.tif;*.tiff;*.tga;*.webp;*.psd;*.psb;*.wav;*.mp3;*.ogg;*.avi;*.mov;*.mp4|3D data (*.cs3c;*.cs3o;*.cs3s;*.fbx;*.6kt;*.6kh;*.lwo;*.lws;*.obj;*.gltf;*.glb;*.vrm;*.stl)|*.cs3c;*.cs3o;*.cs3s;*.fbx;*.6kt;*.6kh;*.lwo;*.lws;*.obj;*.gltf;*.glb;*.vrm;*.stl|Image (*.clip;*.bmp;*.jpg;*.jpeg;*.png;*.tif;*.tiff;*.tga;*.webp;*.psd;*.psb)|;*.clip;*.bmp;*.jpg;*.jpeg;*.png;*.tif;*.tiff;*.tga;*.webp;*.psd;*.psb|Audio (*.wav;*.mp3;*.ogg)|*.wav;*.mp3;*.ogg|Video (*.avi;*.mov;*.mp4)|*.avi;*.mov;*.mp4,Все поддерживаемые форматы|*.cs3c;*.cs3o;*.cs3s;*.fbx;*.6kt;*.6kh;*.lwo;*.lws;*.obj;*.gltf;*.glb;*.vrm;*.stl;*.clip;*.bmp;*.jpg;*.jpeg;*.png;*.tif;*.tiff;*.tga;*.webp;*.psd;*.psb;*.wav;*.mp3;*.ogg;*.avi;*.mov;*.mp4|3D-данные (*.cs3c;*.cs3o;*.cs3s;*.fbx;*.6kt;*.6kh;*.lwo;*.lws;*.obj;*.gltf;*.glb;*.vrm;*.stl)|*.cs3c;*.cs3o;*.cs3s;*.fbx;*.6kt;*.6kh;*.lwo;*.lws;*.obj;*.gltf;*.glb;*.vrm;*.stl|Изображение (*.clip;*.bmp;*.jpg;*.jpeg;*.png;*.tif;*.tiff;*.tga;*.webp;*.psd;*.psb)|;*.clip;*.bmp;*.jpg;*.jpeg;*.png;*.tif;*.tiff;*.tga;*.webp;*.psd;*.psb|Аудио (*.wav;*.mp3;*.ogg)|*.wav;*.mp3;*.ogg|Видео (*.avi;*.mov;*.mp4)|*.avi;*.mov;*.mp4
