word,count
cs,54
mp,39
clip,32
bmp,30
jpeg,30
jpg,30
png,30
psb,30
psd,30
tga,30
tif,30
tiff,30
webp,30
s,21
c,18
fbx,18
glb,18
gltf,18
kh,18
kt,18
lwo,18
lws,18
mov,18
o,18
obj,18
vrm,18
ogg,15
stl,15
wav,15
the,13
avi,12
item,11
supported,11
all,10
formats,10
d,9
data,7
in,7
to,7
audio,6
be,6
file,6
image,5
images,5
is,5
movie,5
video,5
cannot,4
it,4
name,4
this,4
import,3
items,3
may,3
use,3
used,3
a,2
add,2
an,2
as,2
delete,2
documents,2
failed,2
folder,2
format,2
internal,2
no,2
of,2
please,2
possible,2
script,2
settings,2
storage,2
studio,2
syncing,2
there,2
unsupported,2
was,2
when,2
again,1
already,1
and,1
app,1
are,1
because,1
being,1
by,1
cancelled,1
change,1
cloud,1
contains,1
create,1
deleted,1
device,1
dialog,1
directly,1
do,1
due,1
duplicate,1
during,1
edits,1
enter,1
exist,1
exists,1
files,1
following,1
from,1
if,1
importing,1
intended,1
longer,1
manager,1
not,1
off,1
or,1
process,1
projects,1
register,1
since,1
some,1
specified,1
tab,1
that,1
these,1
try,1
turning,1
types,1
unavailable,1
under,1
volume,1
want,1
which,1
you,1
