key,source,target
1/1/2#0,Catalog Name (within 40 characters),Catalog Name (within 40 characters)
1/1/6#0,New Material Catalog,New Material Catalog
2/1/3#0,Copying user settings. Please wait...,Copying user settings. Please wait...
3/1/10#0,Material Catalog Path,Material Catalog Path
3/1/3#0,Item Type,Item Type
3/1/5#0,Type Version,Type Version
4/1/2#0,HSV color space,HSV color space
4/1/3#0,HLS color space,HLS color space
4/1/4#0,Switch color wheel to HLS color space,Switch color wheel to HLS color space
4/1/5#0,Switch color wheel to HSV color space,Switch color wheel to HSV color space
6/1/85#0,Color settings,Color settings
6/1/87#0,Color Wheel 1,Color Wheel 1
6/1/88#0,Color Wheel 2,Color Wheel 2
6/1/89#0,Color Set,Color Set
6/1/90#0,Color History,Color History
6/1/91#0,3 Color Attribute View,3 Color Attribute View
6/1/8#0,Hue Circle,Hue Circle
6/1/95#0,Pick screen color,Pick screen color
7/1/2#0,HSV color space,HSV color space
7/1/3#0,HLS color space,HLS color space
7/1/4#0,Show color icon,Show color icon
8/1/25#0,Files app...,Files app...
8/1/13#0,File name:,File name:
8/1/46#0,View information,View information
8/1/47#0,Change name,Change name
8/1/39#0,Create folder,Create folder
8/1/53#0,Sort by name,Sort by name
8/1/54#0,Sort by creation date,Sort by creation date
8/1/55#0,Sort by date modified,Sort by date modified
8/1/56#0,Sort by category,Sort by category
8/1/57#0,By size,By size
8/1/29#0,△,△
8/1/58#0,▽,▽
8/1/62#0,Date modified,Date modified
8/1/63#0,Creation date,Creation date
8/1/67#0,New Folder,New Folder
8/1/68#0,"""%s"" already exists. Do you want to replace it?","""%s"" already exists. Do you want to replace it?"
8/1/21#0,"This dialog only shows files in file locations used in the app from Ver. 3.1.5 or earlier. If you want to open a file from another location, use the file picker from the File menu > Open.","This dialog only shows files in file locations used in the app from Ver. 3.1.5 or earlier. If you want to open a file from another location, use the file picker from the File menu > Open."
8/1/69#0,Learn more about the file picker,Learn more about the file picker
9/1/4#0,Pair Tools,Pair Tools
