word,count
the,30
check,20
graphics,17
performance,16
of,10
to,10
you,9
computer,8
d,8
this,8
with,8
environment,7
if,7
software,7
use,7
your,7
below,6
from,6
page,6
and,5
correctly,5
update,5
button,4
celsys,4
does,4
for,4
function,4
it,4
may,4
not,4
operation,4
please,4
problems,4
can,3
graphic,3
how,3
opengl,3
refer,3
result,3
using,3
version,3
work,3
appropriate,2
be,2
by,2
cannot,2
card,2
click,2
clicking,2
contact,2
doesn't,2
driver,2
features,2
fixed,2
following,2
functions,2
have,2
inc,2
investigation,2
is,2
issue,2
open,2
or,2
resolve,2
run,2
settings,2
slowly,2
start,2
us,2
want,2
web,2
when,2
without,2
works,2
a,1
about,1
all,1
another,1
any,1
as,1
ask,1
c,1
checker,1
clip,1
clipboard,1
close,1
closed,1
copied,1
copy,1
details,1
display,1
displayed,1
do,1
form,1
help,1
in,1
information,1
instruction,1
like,1
menu,1
previous,1
proceed,1
proper,1
properly,1
renderer,1
required,1
reserved,1
rights,1
save,1
shader,1
status,1
unexpectedly,1
website,1
whether,1
will,1
