file,source,target
742DEA58-main-ui,Export settings for Kindle format,Настройки экспорта в формат Kindle
742DEA58-main-ui,Not now,Не сейчас
742DEA58-main-ui,Not now,Не сейчас
742DEA58-main-ui,Not now,Не сейчас
E79C2AC5-material-catalog,Body pages %d,Основных страниц %d
DD705E0D-cloud-menu,Set Kindle preview tool,Задать средство предпросмотра Kindle
D6B9C91F-3d-lighting,3D folder ,3D-папка
3CC82939-doodle-mode,Launch,Запустить
3CC82939-doodle-mode,Support,Поддержка
