file,source,target
0238E722-export-data,https://www.clipstudio.net/en/dl,
0A24C606-3d-presets,U,
0A24C606-3d-presets,E,
0A24C606-3d-presets,O,
2D481AE5-opentoonz-export,OpenToonz 1.%d,
3CC82939-doodle-mode,https://us-lic.celsys.co.jp/gd/index.php?id=csp-func-en,
3CC82939-doodle-mode,https://support.clip-studio.com/en-us/app-receptions/authentication-release-limitations,
4CB47456-book-viewer,"CELSYS, Inc.",
5634F3A9-animation-timeline, ,
5634F3A9-animation-timeline,U,
5634F3A9-animation-timeline,E,
5634F3A9-animation-timeline,O,
5634F3A9-animation-timeline,"You cannot edit the selected 3D object.
Please switch to the Object tool and select only one 3D Primitive or 3D drawing figure (Ver.2).",
5634F3A9-animation-timeline,"You cannot edit the selected 3D primitive.
Please switch to the Object tool, and in the Sub Tool Detail palette’s Texture Settings tab, set the position to 0 and the scale ratio to 100.",
5634F3A9-animation-timeline,"You cannot edit the selected 3D object.
Please switch to the Object tool, and in the Sub Tool Detail palette’s Preferences tab, open the Rendering Settings and turn on “Use texture”.",
5634F3A9-animation-timeline,"You cannot edit the selected 3D object.
Please switch to the Object tool and check the layer visibility and layer lock settings.",
5634F3A9-animation-timeline,○,
5634F3A9-animation-timeline,●,
61F04D2D-license-verify,https://us-lic.celsys.co.jp/productcontrol/periodexpired?key=%s,
61F04D2D-license-verify,---,
61F04D2D-license-verify,https://support.clip-studio.com/en-us/app-receptions/trial-authentication-failures,
61F04D2D-license-verify,https://accounts.clip-studio.com/password-reset?ui_locales=en-us,
61F04D2D-license-verify,https://accounts.clip-studio.com/register?ui_locales=en-us,
61F04D2D-license-verify,https://us-lic.celsys.co.jp/gd/index.php?id=csp-contact-en,
61F04D2D-license-verify,https://accounts.clip-studio.com/app/register?ui_locales=en-us,
61F04D2D-license-verify,See details here,
61F04D2D-license-verify,https://us-lic.celsys.co.jp/gd/index.php?id=csp-lost-en,
61F04D2D-license-verify,https://us-lic.celsys.co.jp/gd/index.php?id=serial-err-en,
61F04D2D-license-verify,https://www2.celsys.co.jp/support/service_en/service.html,
6FFACA71-companion-mode,https://us-lic.celsys.co.jp/gd/index.php?id=serial-err-en,
6FFACA71-companion-mode,See details here,
6FFACA71-companion-mode,Privacy Settings,
6FFACA71-companion-mode,Please help us to improve Clip Studio.,
6FFACA71-companion-mode,See here for details about data we collect.,
6FFACA71-companion-mode,Help fix errors,
6FFACA71-companion-mode,"If an error occurs, automatically send anonymous information about the incident.
This helps us resolve bugs and errors.",
6FFACA71-companion-mode,Improve services,
6FFACA71-companion-mode,"Automatically sends information about features that you use.
This helps us to improve user experience and develop new features.",
6FFACA71-companion-mode,Set up later,
6FFACA71-companion-mode,https://www.clipstudio.net/gd?id=improvement-enus,
742DEA58-main-ui,CLIP STUDIO PAINT,
742DEA58-main-ui,"CELSYS, Inc.",
742DEA58-main-ui,CLIP STUDIO PAINT %s,
742DEA58-main-ui,CLIP STUDIO,
742DEA58-main-ui,.lip (CLIP STUDIO PAINT),
742DEA58-main-ui,.bmp (BMP),
742DEA58-main-ui,.jpg (JPEG),
742DEA58-main-ui,.png (PNG),
742DEA58-main-ui,.psd (Photoshop),
